FirstStage , RootNode , buys , 1101 , 997008.973081
FirstStage , RootNode , buys , 1102 , 0.0
FirstStage , RootNode , sells , 1101 , 0.0
FirstStage , RootNode , sells , 1102 , 0.0
FirstStage , RootNode , FirstStageWealth , None , 1002203.0
SecondStage , Node991 , riskFreeWealth , None , 0.0
SecondStage , Node991 , riskyWealth , 1101 , 997008.973081
SecondStage , Node991 , riskyWealth , 1102 , 0.0
SecondStage , Node991 , SecondStageWealth , None , 998574.277168
SecondStage , Node956 , riskFreeWealth , None , 0.0
SecondStage , Node956 , riskyWealth , 1101 , 997008.973081
SecondStage , Node956 , riskyWealth , 1102 , 0.0
SecondStage , Node956 , SecondStageWealth , None , 996679.96012
SecondStage , Node990 , riskFreeWealth , None , 0.0
SecondStage , Node990 , riskyWealth , 1101 , 997008.973081
SecondStage , Node990 , riskyWealth , 1102 , 0.0
SecondStage , Node990 , SecondStageWealth , None , 980329.012961
SecondStage , Node776 , riskyWealth , 1102 , 0.0
SecondStage , Node776 , riskFreeWealth , None , 0.0
SecondStage , Node776 , riskyWealth , 1101 , 997008.973081
SecondStage , Node776 , SecondStageWealth , None , 998733.798604
SecondStage , Node209 , riskFreeWealth , None , 0.0
SecondStage , Node209 , riskyWealth , 1101 , 997008.973081
SecondStage , Node209 , riskyWealth , 1102 , 0.0
SecondStage , Node209 , SecondStageWealth , None , 1010229.31206
SecondStage , Node208 , riskFreeWealth , None , 0.0
SecondStage , Node208 , riskyWealth , 1101 , 997008.973081
SecondStage , Node208 , riskyWealth , 1102 , 0.0
SecondStage , Node208 , SecondStageWealth , None , 1025593.22034
SecondStage , Node632 , riskyWealth , 1101 , 997008.973081
SecondStage , Node632 , riskyWealth , 1102 , 0.0
SecondStage , Node632 , riskFreeWealth , None , 0.0
SecondStage , Node632 , SecondStageWealth , None , 1003828.51446
SecondStage , Node633 , riskFreeWealth , None , 0.0
SecondStage , Node633 , riskyWealth , 1101 , 997008.973081
SecondStage , Node633 , riskyWealth , 1102 , 0.0
SecondStage , Node633 , SecondStageWealth , None , 976051.844467
SecondStage , Node634 , riskFreeWealth , None , 0.0
SecondStage , Node634 , riskyWealth , 1101 , 997008.973081
SecondStage , Node634 , riskyWealth , 1102 , 0.0
SecondStage , Node634 , SecondStageWealth , None , 987637.088734
SecondStage , Node635 , riskFreeWealth , None , 0.0
SecondStage , Node635 , riskyWealth , 1101 , 997008.973081
SecondStage , Node635 , riskyWealth , 1102 , 0.0
SecondStage , Node635 , SecondStageWealth , None , 990997.008973
SecondStage , Node636 , riskFreeWealth , None , 0.0
SecondStage , Node636 , riskyWealth , 1101 , 997008.973081
SecondStage , Node636 , riskyWealth , 1102 , 0.0
SecondStage , Node636 , SecondStageWealth , None , 1003220.33898
SecondStage , Node637 , riskyWealth , 1102 , 0.0
SecondStage , Node637 , riskFreeWealth , None , 0.0
SecondStage , Node637 , riskyWealth , 1101 , 997008.973081
SecondStage , Node637 , SecondStageWealth , None , 1008484.54636
SecondStage , Node201 , riskFreeWealth , None , 0.0
SecondStage , Node201 , riskyWealth , 1101 , 997008.973081
SecondStage , Node201 , riskyWealth , 1102 , 0.0
SecondStage , Node201 , SecondStageWealth , None , 1008933.2004
SecondStage , Node200 , riskFreeWealth , None , 0.0
SecondStage , Node200 , riskyWealth , 1101 , 997008.973081
SecondStage , Node200 , riskyWealth , 1102 , 0.0
SecondStage , Node200 , SecondStageWealth , None , 1002462.61216
SecondStage , Node203 , riskyWealth , 1101 , 997008.973081
SecondStage , Node203 , riskyWealth , 1102 , 0.0
SecondStage , Node203 , riskFreeWealth , None , 0.0
SecondStage , Node203 , SecondStageWealth , None , 1011326.02193
SecondStage , Node202 , riskFreeWealth , None , 0.0
SecondStage , Node202 , riskyWealth , 1101 , 997008.973081
SecondStage , Node202 , riskyWealth , 1102 , 0.0
SecondStage , Node202 , SecondStageWealth , None , 983619.142572
SecondStage , Node205 , riskFreeWealth , None , 0.0
SecondStage , Node205 , riskyWealth , 1101 , 997008.973081
SecondStage , Node205 , riskyWealth , 1102 , 0.0
SecondStage , Node205 , SecondStageWealth , None , 999052.841476
SecondStage , Node204 , riskFreeWealth , None , 0.0
SecondStage , Node204 , riskyWealth , 1101 , 997008.973081
SecondStage , Node204 , riskyWealth , 1102 , 0.0
SecondStage , Node204 , SecondStageWealth , None , 1021445.66301
