證券代碼,簡稱,年月日,市值(百萬元)
2330,台積電       ,20131231,2735469
2317,鴻海         ,20131231,1051609
6505,台塑化       ,20131231,779223
2412,中華電       ,20131231,722218
2454,聯發科       ,20131231,598597
2882,國泰金       ,20131231,577358
1303,南亞         ,20131231,546433
1301,台塑         ,20131231,512442
1326,台化         ,20131231,492339
2881,富邦金       ,20131231,446185
2002,中鋼         ,20131231,416490
2308,台達電       ,20131231,414382
3045,台灣大       ,20131231,329426
2886,兆豐金       ,20131231,312490
2891,中信金       ,20131231,299408
1216,統一         ,20131231,276781
2382,廣達         ,20131231,268452
2105,正新         ,20131231,252830
2311,日月光       ,20131231,215704
2912,統一超       ,20131231,214681
4904,遠傳         ,20131231,213431
2207,和泰         ,20131231,200993
2357,華碩         ,20131231,199059
1402,遠東新       ,20131231,176988
2885,元大金       ,20131231,176108
1101,台泥         ,20131231,170763
3008,大立光       ,20131231,162980
2892,第一金       ,20131231,160522
2880,華南金       ,20131231,157579
2303,聯電         ,20131231,156777
2474,可成         ,20131231,145261
2801,彰銀         ,20131231,142195
5880,合庫金       ,20131231,140412
2883,開發金       ,20131231,135277
3474,華亞科       ,20131231,133722
9904,寶成         ,20131231,131161
1102,亞泥         ,20131231,127207
2227,裕日車       ,20131231,126600
2890,永豐金       ,20131231,121884
2498,宏達電       ,20131231,118771
2395,研華         ,20131231,117581
2301,光寶科       ,20131231,111260
2325,矽品         ,20131231,110942
2887,台新金       ,20131231,110287
2884,玉山金       ,20131231,109381
3481,群創         ,20131231,103392
2324,仁寶         ,20131231,100847
2888,新光金       ,20131231,96086
2408,南科         ,20131231,96083
2356,英業達       ,20131231,94529
2409,友達         ,20131231,91622
2354,鴻準         ,20131231,90931
4938,和碩         ,20131231,89174
2201,裕隆         ,20131231,84937
1476,儒鴻         ,20131231,84318
2823,中壽         ,20131231,82208
1802,台玻         ,20131231,78832
5871,F-中租       ,20131231,78073
9921,巨大         ,20131231,76888
2347,聯強         ,20131231,75136
3034,聯詠         ,20131231,74238
2915,潤泰全       ,20131231,72019
9945,潤泰新       ,20131231,68896
1504,東元         ,20131231,68391
1722,台肥         ,20131231,66150
2049,上銀         ,20131231,63835
2603,長榮         ,20131231,63244
9914,美利達       ,20131231,61647
1227,佳格         ,20131231,61485
1434,福懋         ,20131231,60732
3231,緯創         ,20131231,59572
1789,神隆         ,20131231,59211
3673,F-TPK        ,20131231,57954
2610,華航         ,20131231,56940
3702,大聯大       ,20131231,56790
2618,長榮航       ,20131231,54098
2448,晶電         ,20131231,53709
4958,F-臻鼎       ,20131231,53031
5264,F-鎧勝       ,20131231,52994
2353,宏碁         ,20131231,51875
2385,群光         ,20131231,51435
3682,亞太電       ,20131231,51071
6176,瑞儀         ,20131231,50687
2106,建大         ,20131231,50588
9907,統一實       ,20131231,48321
2834,臺企銀       ,20131231,46203
2606,裕民         ,20131231,45903
2923,F-鼎固       ,20131231,45247
2362,藍天         ,20131231,44382
3189,景碩         ,20131231,44109
2206,三陽         ,20131231,43787
5522,遠雄         ,20131231,42189
2903,遠百         ,20131231,41623
1590,F-亞德       ,20131231,41260
2379,瑞昱         ,20131231,40396
2204,中華         ,20131231,39929
9910,豐泰         ,20131231,39806
2609,陽明         ,20131231,39321
1723,中碳         ,20131231,38852
2542,興富發       ,20131231,37691
2727,王品         ,20131231,36998
2451,創見         ,20131231,36916
2707,晶華         ,20131231,36139
9933,中鼎         ,20131231,36101
6239,力成         ,20131231,35490
1507,永大         ,20131231,35125
3037,欣興         ,20131231,34772
2103,台橡         ,20131231,34601
2615,萬海         ,20131231,34383
3576,新日光       ,20131231,34233
1605,華新         ,20131231,34186
2809,京城銀       ,20131231,34115
1440,南紡         ,20131231,33524
9917,中保         ,20131231,33250
1704,榮化         ,20131231,33063
2101,南港         ,20131231,32512
6116,彩晶         ,20131231,32399
2059,川湖         ,20131231,31983
2015,豐興         ,20131231,31813
1314,中石化       ,20131231,31551
2501,國建         ,20131231,31142
2439,美律         ,20131231,30661
2392,正崴         ,20131231,30020
2344,華邦電       ,20131231,29552
3060,銘異         ,20131231,29439
2845,遠東銀       ,20131231,29408
2393,億光         ,20131231,29002
1717,長興         ,20131231,28779
1710,東聯         ,20131231,28563
2723,F-美食       ,20131231,28435
3044,健鼎         ,20131231,28067
2812,台中銀       ,20131231,27753
1477,聚陽         ,20131231,27220
2833,台壽         ,20131231,27004
9940,信義         ,20131231,26950
1201,味全         ,20131231,26517
1319,東陽         ,20131231,26379
2889,國票金       ,20131231,26254
6005,群益證       ,20131231,26178
2867,三商壽       ,20131231,26157
2006,東鋼         ,20131231,26152
2847,大眾銀       ,20131231,25929
3532,台勝科       ,20131231,25210
2849,安泰銀       ,20131231,25027
6285,啟碁         ,20131231,24894
1907,永豐餘       ,20131231,24739
2449,京元電       ,20131231,24387
8046,南電         ,20131231,24101
2838,聯邦銀       ,20131231,24047
2450,神腦         ,20131231,24017
1304,台聚         ,20131231,23651
2337,旺宏         ,20131231,23629
2360,致茂         ,20131231,23547
2855,統一證       ,20131231,23419
2548,華固         ,20131231,23307
2511,太子         ,20131231,23059
4137,F-麗豐       ,20131231,23014
2837,萬泰銀       ,20131231,22962
5534,長虹         ,20131231,22766
2376,技嘉         ,20131231,22556
6271,同欣電       ,20131231,22481
2608,大榮         ,20131231,22438
2607,榮運         ,20131231,22196
3706,神達         ,20131231,21915
2373,震旦行       ,20131231,21595
8422,可寧衛       ,20131231,21178
1312,國喬         ,20131231,20988
2313,華通         ,20131231,20797
6286,立錡         ,20131231,20643
2547,日勝生       ,20131231,20504
2377,微星         ,20131231,20445
2458,義隆         ,20131231,20295
1503,士電         ,20131231,19796
2355,敬鵬         ,20131231,19795
1707,葡萄王       ,20131231,19535
9941,裕融         ,20131231,19504
6605,帝寶         ,20131231,19483
2371,大同         ,20131231,19347
6269,台郡         ,20131231,19321
2384,勝華         ,20131231,19216
1337,F-再生       ,20131231,19083
2504,國產         ,20131231,18839
1409,新纖         ,20131231,18397
4960,奇美材       ,20131231,17903
2913,農林         ,20131231,17880
1718,中纖         ,20131231,17773
6214,精誠         ,20131231,17651
2545,皇翔         ,20131231,17500
2520,冠德         ,20131231,17179
1104,環泥         ,20131231,17059
3035,智原         ,20131231,17027
2489,瑞軒         ,20131231,16854
1313,聯成         ,20131231,16720
3698,隆達         ,20131231,16717
2327,國巨         ,20131231,16594
1229,聯華         ,20131231,16554
9939,宏全         ,20131231,16318
5007,三星         ,20131231,16297
6412,群電         ,20131231,16220
2856,元富證       ,20131231,16150
2605,新興         ,20131231,16139
2312,金寶         ,20131231,15967
6282,康舒         ,20131231,15907
1532,勤美         ,20131231,15842
2023,燁輝         ,20131231,15830
2637,F-慧洋       ,20131231,15766
2820,華票         ,20131231,15712
1736,喬山         ,20131231,15672
2441,超豐         ,20131231,15643
2104,中橡         ,20131231,15433
1904,正隆         ,20131231,15402
5531,鄉林         ,20131231,15363
4536,拓凱         ,20131231,15076
1210,大成         ,20131231,14954
4532,瑞智         ,20131231,14529
9925,新保         ,20131231,14510
6415,F-矽力       ,20131231,14436
2352,佳世達       ,20131231,14416
2905,三商行       ,20131231,14377
2534,宏盛         ,20131231,14285
2208,台船         ,20131231,14276
1234,黑松         ,20131231,14065
6206,飛捷         ,20131231,14035
2107,厚生         ,20131231,13946
3705,永信         ,20131231,13879
2388,威盛         ,20131231,13812
9930,中聯資       ,20131231,13782
2515,中工         ,20131231,13709
3514,昱晶         ,20131231,13699
1702,南僑         ,20131231,13383
5280,F-敦泰       ,20131231,13303
2323,中環         ,20131231,13293
2349,錸德         ,20131231,13207
2062,橋椿         ,20131231,13203
3454,晶睿         ,20131231,13156
1714,和桐         ,20131231,13146
8429,F-金麗       ,20131231,13125
3376,新日興       ,20131231,13084
2475,華映         ,20131231,12958
3022,威強電       ,20131231,12853
1726,永記         ,20131231,12684
3515,華擎         ,20131231,12654
2331,精英         ,20131231,12507
5907,F-大洋       ,20131231,12483
2014,中鴻         ,20131231,12288
1451,年興         ,20131231,12280
1308,亞聚         ,20131231,12258
8039,台虹         ,20131231,12235
1103,嘉泥         ,20131231,12196
6278,台表科       ,20131231,12151
1419,新紡         ,20131231,12001
3356,奇偶         ,20131231,11928
6504,南六         ,20131231,11906
3036,文曄         ,20131231,11899
1903,士紙         ,20131231,11883
1905,華紙         ,20131231,11823
2617,台航         ,20131231,11809
4915,致伸         ,20131231,11778
1909,榮成         ,20131231,11727
2328,廣宇         ,20131231,11707
2332,友訊         ,20131231,11688
9908,大台北       ,20131231,11618
2929,F-淘帝       ,20131231,11616
2908,特力         ,20131231,11587
1711,永光         ,20131231,11545
1447,力鵬         ,20131231,11480
1307,三芳         ,20131231,11449
1614,三洋電       ,20131231,11262
3042,晶技         ,20131231,11182
9905,大華         ,20131231,11163
2485,兆赫         ,20131231,10992
2027,大成鋼       ,20131231,10957
3010,華立         ,20131231,10956
2524,京城         ,20131231,10920
2704,國賓         ,20131231,10915
1513,中興電       ,20131231,10848
1589,F-永冠       ,20131231,10845
3519,綠能         ,20131231,10805
5388,中磊         ,20131231,10785
3062,建漢         ,20131231,10760
6202,盛群         ,20131231,10742
9938,百和         ,20131231,10726
6277,宏正科       ,20131231,10716
2514,龍邦         ,20131231,10701
3380,明泰         ,20131231,10677
1310,台苯         ,20131231,10582
2614,東森         ,20131231,10544
6257,矽格         ,20131231,10425
2612,中航         ,20131231,10387
1560,中砂         ,20131231,10363
6213,聯茂         ,20131231,10353
3061,璨圓         ,20131231,10350
1536,和大         ,20131231,10314
8926,台汽電       ,20131231,10249
1626,F-艾美       ,20131231,10215
3665,F-貿聯       ,20131231,10173
1444,力麗         ,20131231,10120
3149,正達         ,20131231,10094
4306,炎洲         ,20131231,10027
2406,國碩         ,20131231,10014
1110,東泥         ,20131231,10010
4164,承業醫       ,20131231,9932
3443,創意         ,20131231,9916
8411,F-福貞       ,20131231,9915
2102,泰豐         ,20131231,9905
2499,東貝         ,20131231,9878
1232,大統益       ,20131231,9870
3030,德律         ,20131231,9826
2505,國揚         ,20131231,9814
1535,中宇         ,20131231,9812
8213,志超         ,20131231,9790
8215,明基材       ,20131231,9684
3041,揚智         ,20131231,9670
2536,宏普         ,20131231,9630
3006,晶豪科       ,20131231,9554
4994,傳奇         ,20131231,9459
6230,超眾         ,20131231,9368
5434,崇越         ,20131231,9211
3561,昇陽科       ,20131231,9200
6153,嘉聯益       ,20131231,9191
3704,合勤控       ,20131231,9187
3703,欣陸         ,20131231,9042
9937,全國         ,20131231,9024
3406,玉晶光       ,20131231,9019
3005,神基         ,20131231,8992
2832,台產         ,20131231,8986
2731,雄獅         ,20131231,8820
2404,漢唐         ,20131231,8790
4906,正文         ,20131231,8722
6166,凌華         ,20131231,8717
4141,F-龍燈       ,20131231,8687
5305,敦南         ,20131231,8658
3653,健策         ,20131231,8620
5203,訊連         ,20131231,8512
6192,巨路         ,20131231,8511
5608,四維航       ,20131231,8510
3026,禾伸堂       ,20131231,8472
2374,佳能         ,20131231,8468
2034,允強         ,20131231,8457
8072,陞泰         ,20131231,8420
5243,F-乙盛       ,20131231,8407
2345,智邦         ,20131231,8348
3023,信邦         ,20131231,8296
2597,潤弘         ,20131231,8289
3019,亞光         ,20131231,8262
4725,信昌化       ,20131231,8204
8114,振樺電       ,20131231,8192
3059,華晶科       ,20131231,8176
4142,國光生       ,20131231,8158
2538,基泰         ,20131231,8155
2228,劍麟         ,20131231,8102
2851,中再保       ,20131231,8096
1338,F-廣華       ,20131231,8044
2910,統領         ,20131231,8035
1720,生達         ,20131231,8023
2231,為升         ,20131231,8021
3049,和鑫         ,20131231,7867
9942,茂順         ,20131231,7825
2383,台光電       ,20131231,7810
1321,大洋         ,20131231,7793
1442,名軒         ,20131231,7686
2108,南帝         ,20131231,7681
8131,福懋科       ,20131231,7628
1305,華夏         ,20131231,7609
2850,新產         ,20131231,7598
2601,益航         ,20131231,7533
2455,全新         ,20131231,7494
1582,信錦         ,20131231,7462
9934,成霖         ,20131231,7450
9927,泰銘         ,20131231,7445
2433,互盛電       ,20131231,7441
2497,怡利電       ,20131231,7436
2010,春源         ,20131231,7415
3596,智易         ,20131231,7369
2351,順德         ,20131231,7362
1734,杏輝         ,20131231,7361
1608,華榮         ,20131231,7340
6115,鎰勝         ,20131231,7268
2029,盛餘         ,20131231,7210
8081,致新         ,20131231,7195
2841,台開         ,20131231,7175
3017,奇鋐         ,20131231,7172
8163,達方         ,20131231,7143
5471,松翰         ,20131231,7134
2706,第一店       ,20131231,7100
2013,中鋼構       ,20131231,7040
6702,復航         ,20131231,7038
1701,中化         ,20131231,6989
3504,揚明光       ,20131231,6957
2340,光磊         ,20131231,6929
2430,燦坤         ,20131231,6891
2836,高雄銀       ,20131231,6878
2401,凌陽         ,20131231,6834
8070,長華         ,20131231,6821
2367,燿華         ,20131231,6800
2109,華豐         ,20131231,6786
4104,佳醫         ,20131231,6704
1733,五鼎         ,20131231,6700
4733,上緯         ,20131231,6692
1604,聲寶         ,20131231,6684
3311,閎暉         ,20131231,6663
8427,F-基勝       ,20131231,6620
1773,勝一         ,20131231,6614
1315,達新         ,20131231,6600
4934,太極         ,20131231,6584
4144,F-康聯       ,20131231,6453
1525,江申         ,20131231,6446
2642,宅配通       ,20131231,6444
1537,廣隆         ,20131231,6428
9926,新海         ,20131231,6397
3015,全漢         ,20131231,6377
1455,集盛         ,20131231,6331
1715,萬洲         ,20131231,6305
2314,台揚         ,20131231,6269
3545,旭曜         ,20131231,6239
6281,全國電       ,20131231,6228
4108,懷特         ,20131231,6220
4526,東台         ,20131231,6214
2539,櫻建         ,20131231,6200
2495,普安         ,20131231,6186
3617,碩天         ,20131231,6181
2535,達欣工       ,20131231,6171
1737,臺鹽         ,20131231,6150
1709,和益         ,20131231,6148
2369,菱生         ,20131231,6138
3533,嘉澤         ,20131231,6113
9924,福興         ,20131231,6096
9946,三發         ,20131231,6095
3450,聯鈞         ,20131231,6062
9918,欣天然       ,20131231,6020
1416,廣豐         ,20131231,6019
1203,味王         ,20131231,5976
5234,達興         ,20131231,5970
4942,嘉彰         ,20131231,5962
2852,第一保       ,20131231,5917
6189,豐藝         ,20131231,5890
6177,達麗         ,20131231,5846
9911,櫻花         ,20131231,5749
3057,喬鼎         ,20131231,5740
1806,冠軍         ,20131231,5729
2436,偉詮電       ,20131231,5723
1808,潤隆         ,20131231,5721
8101,華冠         ,20131231,5715
1611,中電         ,20131231,5697
4746,台耀         ,20131231,5673
2540,愛山林       ,20131231,5670
2420,新巨         ,20131231,5663
9943,好樂迪       ,20131231,5620
3033,威健         ,20131231,5599
6191,精成科       ,20131231,5581
1712,興農         ,20131231,5573
3501,維熹         ,20131231,5568
3607,谷崧         ,20131231,5568
2492,華新科       ,20131231,5520
1729,必翔         ,20131231,5481
8016,矽創         ,20131231,5480
2701,萬企         ,20131231,5477
2363,矽統         ,20131231,5460
6145,勁永         ,20131231,5420
2402,毅嘉         ,20131231,5395
2031,新光鋼       ,20131231,5386
6139,亞翔         ,20131231,5365
8110,華東         ,20131231,5357
4919,新唐         ,20131231,5354
1708,東鹼         ,20131231,5311
1522,堤維西       ,20131231,5303
2457,飛宏         ,20131231,5238
3494,誠研         ,20131231,5234
2466,冠西電       ,20131231,5212
1902,台紙         ,20131231,5205
2481,強茂         ,20131231,5188
6120,輔祥         ,20131231,5156
5469,瀚宇博       ,20131231,5151
1231,聯華食       ,20131231,5097
6224,聚鼎         ,20131231,5096
3638,F-IML        ,20131231,5090
5521,工信         ,20131231,5073
2114,鑫永銓       ,20131231,5045
2428,興勤         ,20131231,5039
1109,信大         ,20131231,5030
6405,悅城         ,20131231,5020
5515,建國         ,20131231,5005
2911,麗嬰房       ,20131231,4986
2476,鉅祥         ,20131231,4983
3003,健和興       ,20131231,4933
3056,總太         ,20131231,4897
5225,F-東科       ,20131231,4896
2527,宏璟         ,20131231,4892
4977,F-眾達       ,20131231,4871
2421,建準         ,20131231,4868
3622,洋華         ,20131231,4830
1527,鑽全         ,20131231,4828
6209,今國光       ,20131231,4795
1519,華城         ,20131231,4751
3383,新世紀       ,20131231,4746
2816,旺旺保       ,20131231,4740
6183,關貿         ,20131231,4740
1218,泰山         ,20131231,4717
4935,F-茂林       ,20131231,4689
8996,高力         ,20131231,4689
5525,順天         ,20131231,4687
1603,華電         ,20131231,4672
3583,辛耘         ,20131231,4657
2464,盟立         ,20131231,4637
5533,皇鼎建設     ,20131231,4632
6197,佳必琪       ,20131231,4613
1219,福壽         ,20131231,4603
1473,台南         ,20131231,4596
8261,富鼎         ,20131231,4587
6184,大豐電       ,20131231,4586
1521,大億         ,20131231,4581
