transDate	openPrice	highestPrice	lowestPrice	closePrice	volume	value	adjROI
20060831	28.3	28.34	26.49	26.55	13443	358810	1.6462
20060901	26.7	26.71	26.55	26.62	3744	99632	0.2637
20060904	26.67	27.08	26.67	26.99	4963	133549	1.3899
20060905	27	27.05	26.88	26.92	4564	123066	-0.2594
20060906	26.85	26.85	26.42	26.6	3172	84674	-1.1887
20060907	26.4	26.75	26.38	26.75	5818	154096	0.5639
20060908	26.74	26.87	26.61	26.87	4548	121613	0.4486
20060911	26.95	27.19	26.61	26.93	3310	89268	0.2233
20060912	26.93	26.93	26.58	26.75	1744	46568	-0.6684
20060913	26.77	26.85	26.58	26.62	1166	31108	-0.486
20060914	26.68	26.86	26.1	26.28	6846	180042	-1.2772
20060915	26.2	26.59	26.2	26.59	937	24732	1.1796
20060918	26.99	27.6	26.9	27.6	4948	134631	3.7984
20060919	27.6	27.72	27.45	27.67	4258	117476	0.2536
20060920	27.67	27.7	27.43	27.64	1646	45297	-0.1084
20060921	27.8	27.8	27.46	27.71	2929	80830	0.2533
20060922	27.61	27.73	27.5	27.73	1471	40643	0.0722
20060925	27.73	27.91	27.4	27.91	1996	55450	0.6491
20060926	28	28	27.81	27.83	1230	34343	-0.2866
20060927	28	28.09	27.85	28.09	1730	48447	0.9342
20060928	28.09	28.13	27.76	27.87	2130	59514	-0.7832
20060929	28	28	27.79	27.96	1892	52779	0.3229
20061002	28.2	28.4	28.1	28.27	1489	42103	1.1087
20061003	28.24	28.35	28.2	28.3	1489	42121	0.1061
20061004	28.39	28.4	27.91	27.95	1874	52690	-1.2367
20061005	28.19	28.35	28.06	28.34	2540	71705	1.3953
20061011	27.11	28.5	27.11	28.48	2172	61526	0.494
20061012	28.5	28.55	28.4	28.48	1896	53999	0
20061013	28.5	28.9	28.5	28.85	3825	109811	1.2992
20061014	28.89	28.97	28.83	28.94	1589	45925	0.312
20061016	28.96	29.1	28.94	29.04	4092	118861	0.3455
20061017	29.04	29.04	28.75	28.77	1541	44480	-0.9298
20061018	28.51	28.73	28.48	28.59	3240	92709	-0.6257
20061019	28.62	28.69	28.55	28.6	1536	43980	0.035
20061020	28.6	28.85	28.6	28.85	1615	46439	0.8741
20061023	28.8	28.83	28.6	28.72	1557	44711	-0.4506
20061024	28.8	28.93	28.8	28.82	2445	70527	0.3482
20061025	28.89	28.95	28.76	28.76	3480	100460	-0.2082
20061026	28.76	28.9	28.76	28.81	2746	79244	0.1739
20061027	28.82	28.9	28.6	28.6	2572	73997	-0.7289
20061030	28.55	28.55	28.23	28.34	2573	72939	-0.9091
20061031	28.34	28.42	28.3	28.37	725	20575	0.1059
20061101	28.35	28.48	28.35	28.43	1165	33148	0.2115
20061102	28.43	28.6	28.32	28.6	2296	65373	0.598
20061103	28.63	29.12	28.63	29.1	4540	131420	1.7483
20061106	28.8	29.08	28.61	28.99	3630	104665	-0.378
20061107	29.13	29.23	29.11	29.14	2005	58482	0.5174
20061108	29.15	29.18	29.1	29.18	544	15858	0.1373
20061109	29.41	29.42	29	29.07	1152	33770	-0.377
20061110	29.07	29.1	28.81	29.1	939	27263	0.1032
20061113	29.12	29.13	28.95	29.08	1195	34699	-0.0687
20061114	29.08	29.35	29.08	29.28	1902	55556	0.6878
20061115	29.32	29.41	29.2	29.4	918	26944	0.4098
20061116	29.5	29.66	29.45	29.5	2509	74204	0.3401
20061117	29.65	29.67	29.57	29.6	258	7644	0.339
20061120	29.65	29.72	29.6	29.68	444	13176	0.2703
20061121	29.75	29.85	29.68	29.85	3268	97168	0.5728
20061122	29.85	30.09	29.8	30.09	391	11690	0.804
20061123	30.07	30.5	30	30.29	1754	53227	0.6647
20061124	30.29	30.71	30.25	30.71	2583	78850	1.3866
20061127	30.81	30.98	30.74	30.98	3525	108916	0.8792
20061128	30.87	30.89	30.7	30.89	1385	42736	-0.2905
20061129	30.9	31.08	30.7	30.8	1241	38323	-0.2914
20061130	31.17	31.24	31.03	31.24	750	23360	1.4286
20061201	31.5	31.56	31.3	31.45	2753	86674	0.6722
20061204	31.59	31.8	31.4	31.62	665	21015	0.5405
20061205	31.98	31.99	31.14	31.3	1924	60699	-1.012
20061206	31.3	31.77	31.11	31.77	2347	73732	1.5016
20061207	31.87	31.87	31.51	31.63	493	15620	-0.4407
20061208	31.63	31.65	31.45	31.5	1102	34720	-0.411
20061211	31.4	31.62	31.36	31.51	597	18790	0.0317
20061212	31.65	31.65	31	31.28	1557	48703	-0.7299
20061213	31.3	31.4	30.6	31.2	1007	31269	-0.2558
20061214	31.2	31.44	31.06	31.29	739	23115	0.2885
20061215	31.5	31.5	31.37	31.46	831	26131	0.5433
20061218	31.5	31.69	31.46	31.69	4830	152673	0.7311
20061219	31.7	31.84	31.65	31.69	1919	60909	0
20061220	31.69	31.96	31.69	31.92	2885	91935	0.7258
20061221	31.9	31.95	31.62	31.76	2175	69250	-0.5013
20061222	31.73	31.86	31.7	31.85	908	28878	0.2834
20061225	31.85	31.93	31.7	31.9	1038	33048	0.157
20061226	31.9	32.43	31.9	32.43	2493	80098	1.6614
20061227	32.5	32.71	32.5	32.62	4713	153901	0.5859
20061228	32.72	32.79	32.33	32.57	1889	61354	-0.1533
20061229	32.65	33	32.34	33	2116	68917	1.3202
20070102	32.98	33.15	32.7	33.15	2536	83528	0.4545
20070103	33.15	33.34	32.91	33.15	1461	48448	0
20070104	33.05	33.22	32.97	32.99	2124	70258	-0.4827
20070105	33	33.29	32.5	32.66	1449	47536	-1.0003
20070108	32.65	32.65	32.21	32.3	1671	54156	-1.1023
20070109	32.2	32.64	32.2	32.53	1226	39857	0.7121
20070110	32.41	32.47	32.16	32.18	1397	45035	-1.0759
20070111	32.18	32.35	31.55	31.63	1251	40022	-1.7091
20070112	31.63	32.24	31.63	32	1308	41906	1.1698
20070115	32.29	32.46	31.5	32.35	1419	45573	1.0938
20070116	32.35	32.39	32.25	32.35	395	12774	0
20070117	32.25	32.4	32.11	32.26	1180	38077	-0.2782
20070118	32.26	32.75	32.26	32.75	2384	77772	1.5189
20070119	32.7	32.78	32.6	32.7	1400	45806	-0.1527
20070122	32.7	32.7	32.42	32.7	555	18065	0
20070123	32.67	32.67	32.5	32.6	243	7919	-0.3058
20070124	32.68	32.9	32.68	32.8	783	25680	0.6135
20070125	32	32.9	32	32.7	1020	33361	-0.3049
20070126	32.66	32.66	32.45	32.51	319	10379	-0.581
20070129	32.31	32.51	32.1	32.21	751	24301	-0.9228
20070130	32.2	32.21	31.95	32.15	927	29728	-0.1863
20070131	32.15	32.15	31.6	31.72	1294	41292	-1.3375
20070201	31.85	32	31.85	31.89	475	15175	0.5359
20070202	32	32.18	32	32.16	268	8595	0.8467
20070205	32.15	32.25	32.1	32.15	448	14401	-0.0311
20070206	32.19	32.44	32.19	32.44	610	19717	0.902
20070207	32.44	32.58	32.31	32.31	417	13530	-0.4007
20070208	32.37	32.44	32.05	32.24	706	22799	-0.2167
20070209	32.24	32.4	32.18	32.35	870	28147	0.3412
20070212	32.34	32.34	32.05	32.2	537	17291	-0.4637
20070213	32.2	32.35	32.1	32.25	613	19764	0.1553
20070214	32.2	32.5	32.2	32.5	510	16502	0.7752
20070226	32.85	32.93	32.7	32.93	1317	43269	1.3231
20070227	32.93	33	32.76	32.88	443	14587	-0.1518
20070301	32.31	32.5	32.01	32.17	740	23865	-2.1594
20070302	32	32.28	31.95	32.28	4151	133273	0.3419
20070303	32.2	32.2	31.8	31.84	674	21564	-1.3631
20070305	31.84	31.84	30.2	30.59	1940	59900	-3.9259
20070306	30.5	32.73	30.15	32.73	1426	43750	6.9958
20070307	31.32	31.32	30.91	31.1	1339	41628	-4.9801
20070308	31.3	31.48	31.12	31.4	394	12348	0.9646
20070309	31.4	31.6	31.4	31.5	449	14154	0.3185
20070312	31.5	31.66	31.5	31.66	507	16035	0.5079
20070313	31.69	31.79	31.66	31.78	423	13426	0.379
20070314	31.4	31.48	31.22	31.42	476	14910	-1.1328
20070315	31.59	31.85	31.55	31.85	700	22222	1.3686
20070316	31.82	32.09	31.81	32.05	803	25624	0.6279
20070319	32.01	32.2	31.95	32.2	681	21843	0.468
20070320	32.2	32.3	32.01	32.01	445	14295	-0.5901
20070321	32.03	32.2	32	32.1	417	13360	0.2812
20070322	32.15	32.37	32.15	32.37	772	24912	0.8411
20070323	32.37	32.58	32.27	32.5	1476	47904	0.4016
20070326	32.49	32.8	32.49	32.8	581	18973	0.9231
20070327	32.79	32.83	32.64	32.64	580	19021	-0.4878
20070328	32.64	32.64	32.44	32.48	397	12925	-0.4902
20070329	32.43	32.64	32.4	32.64	282	9162	0.4926
20070330	32.64	32.84	32.64	32.72	345	11296	0.2451
20070402	32.73	32.85	32.73	32.75	370	12130	0.0917
20070403	32.75	33	32.72	33	479	15771	0.7634
20070404	33.11	33.33	33.06	33.33	863	28654	1
20070409	33.35	33.62	33.35	33.62	854	28650	0.8701
20070410	33.62	33.64	33.48	33.64	721	24197	0.0595
20070411	33.61	33.75	33.6	33.73	488	16420	0.2675
20070412	33.68	33.69	33.61	33.69	933	31403	-0.1186
20070413	33.68	33.7	33.25	33.25	912	30638	-1.306
20070414	33.3	33.54	33.3	33.4	569	19034	0.4511
20070416	33.6	33.65	33.28	33.35	988	33074	-0.1497
20070417	33.59	33.64	32.8	32.8	1145	38062	-1.6492
20070418	32.9	33	32.75	32.89	85	2792	0.2744
