ÃÒ¨é¥N½X,Â²ºÙ,¦~¤ë¤é,¶}½L»ù(¤¸),³Ì°ª»ù(¤¸),³Ì§C»ù(¤¸),¦¬½L»ù(¤¸),¦¨¥æ¶q(¤dªÑ),¦¨¥æ­È(¤d¤¸),³ø¹S²v¢H
0055   ,Ä_ª÷¿Ä       ,20070716,   16.08,   16.45,   15.92,   16.25,    12991,      211101,   1.0572
0055   ,Ä_ª÷¿Ä       ,20070717,   16.50,   16.95,   16.15,   16.37,    17542,      285584,   0.7385
0055   ,Ä_ª÷¿Ä       ,20070718,   16.35,   16.75,   16.26,   16.56,    13890,      230215,   1.1607
0055   ,Ä_ª÷¿Ä       ,20070719,   16.60,   16.60,   16.26,   16.30,     6661,      109354,  -1.5700
0055   ,Ä_ª÷¿Ä       ,20070720,   16.35,   16.44,   16.21,   16.40,     3882,       63216,   0.6135
0055   ,Ä_ª÷¿Ä       ,20070723,   16.36,   16.48,   16.34,   16.40,     2437,       39973,   0.0000
0055   ,Ä_ª÷¿Ä       ,20070724,   16.45,   16.54,   16.44,   16.52,     4344,       71575,   0.7317
0055   ,Ä_ª÷¿Ä       ,20070725,   16.50,   16.52,   16.34,   16.40,     2477,       40636,  -0.7264
0055   ,Ä_ª÷¿Ä       ,20070726,   16.42,   16.50,   16.10,   16.11,     3490,       57066,  -1.7683
0055   ,Ä_ª÷¿Ä       ,20070727,   15.90,   15.90,   15.17,   15.35,     7116,      110420,  -4.7176
0055   ,Ä_ª÷¿Ä       ,20070730,   15.30,   15.35,   14.90,   15.05,     3866,       58114,  -1.9544
0055   ,Ä_ª÷¿Ä       ,20070731,   15.19,   15.33,   15.19,   15.30,     2395,       36567,   1.6611
0055   ,Ä_ª÷¿Ä       ,20070801,   15.10,   15.10,   14.65,   14.80,     5675,       84744,  -3.2680
0055   ,Ä_ª÷¿Ä       ,20070802,   15.00,   15.00,   14.20,   14.65,     3790,       55347,  -1.0135
0055   ,Ä_ª÷¿Ä       ,20070803,   14.90,   14.94,   14.65,   14.70,     1408,       20840,   0.3413
0055   ,Ä_ª÷¿Ä       ,20070806,   14.50,   14.50,   14.35,   14.40,     1234,       17771,  -2.0408
0055   ,Ä_ª÷¿Ä       ,20070807,   14.50,   14.60,   14.38,   14.38,      984,       14257,  -0.1389
0055   ,Ä_ª÷¿Ä       ,20070808,   14.42,   14.75,   14.41,   14.75,     1307,       19021,   2.5730
0055   ,Ä_ª÷¿Ä       ,20070809,   14.85,   14.90,   14.65,   14.82,     1936,       28656,   0.4746
0055   ,Ä_ª÷¿Ä       ,20070810,   14.60,   14.60,   14.12,   14.24,     2045,       29276,  -3.9136
0055   ,Ä_ª÷¿Ä       ,20070813,   14.24,   14.29,   14.15,   14.20,      740,       10498,  -0.2809
0055   ,Ä_ª÷¿Ä       ,20070814,   14.22,   14.38,   14.10,   14.20,     1058,       15045,   0.0000
0055   ,Ä_ª÷¿Ä       ,20070815,   14.16,   14.16,   13.71,   13.74,     2180,       30320,  -3.2394
0055   ,Ä_ª÷¿Ä       ,20070816,   13.64,   13.64,   13.35,   13.38,     1572,       21178,  -2.6201
0055   ,Ä_ª÷¿Ä       ,20070817,   13.51,   13.60,   13.32,   13.40,     1373,       18506,   0.1495
0055   ,Ä_ª÷¿Ä       ,20070820,   13.88,   13.95,   13.70,   13.95,     1050,       14529,   4.1045
0055   ,Ä_ª÷¿Ä       ,20070821,   13.95,   13.95,   13.64,   13.74,      550,        7568,  -1.5054
0055   ,Ä_ª÷¿Ä       ,20070822,   13.74,   13.95,   13.74,   13.93,      427,        5922,   1.3828
0055   ,Ä_ª÷¿Ä       ,20070823,   14.10,   14.19,   14.05,   14.10,      721,       10186,   1.2204
0055   ,Ä_ª÷¿Ä       ,20070824,   14.10,   14.22,   14.03,   14.21,      687,        9698,   0.7801
0055   ,Ä_ª÷¿Ä       ,20070827,   14.29,   14.36,   14.05,   14.07,     1000,       14200,  -0.9852
0055   ,Ä_ª÷¿Ä       ,20070828,   14.05,   14.09,   13.85,   13.86,      536,        7469,  -1.4925
0055   ,Ä_ª÷¿Ä       ,20070829,   13.68,   13.70,   13.60,   13.66,     5744,       78245,  -1.4430
0055   ,Ä_ª÷¿Ä       ,20070830,   13.80,   13.89,   13.75,   13.87,    10469,      145060,   1.5373
0055   ,Ä_ª÷¿Ä       ,20070831,   13.87,   14.10,   13.83,   14.10,      838,       11724,   1.6583
0055   ,Ä_ª÷¿Ä       ,20070903,   14.15,   14.29,   14.15,   14.27,     1105,       15696,   1.2057
0055   ,Ä_ª÷¿Ä       ,20070904,   14.27,   14.28,   13.89,   13.98,     2597,       36440,  -2.0322
0055   ,Ä_ª÷¿Ä       ,20070905,   14.10,   14.10,   13.76,   13.80,     2980,       41563,  -1.2876
0055   ,Ä_ª÷¿Ä       ,20070906,   13.82,   13.88,   13.70,   13.88,     1952,       26921,   0.5797
0055   ,Ä_ª÷¿Ä       ,20070907,   13.92,   13.98,   13.87,   13.90,     3868,       53902,   0.1441
0055   ,Ä_ª÷¿Ä       ,20070910,   13.80,   13.80,   13.65,   13.72,     2422,       33144,  -1.2950
0055   ,Ä_ª÷¿Ä       ,20070911,   13.72,   13.79,   13.70,   13.75,     1205,       16555,   0.2187
0055   ,Ä_ª÷¿Ä       ,20070912,   13.80,   13.97,   13.77,   13.94,     1304,       18120,   1.3818
0055   ,Ä_ª÷¿Ä       ,20070913,   13.96,   13.98,   13.86,   13.86,     3348,       46565,  -0.5739
0055   ,Ä_ª÷¿Ä       ,20070914,   13.91,   14.15,   13.90,   14.13,     1206,       16941,   1.9481
0055   ,Ä_ª÷¿Ä       ,20070917,   14.13,   14.16,   13.95,   13.98,     1309,       18310,  -1.0616
0055   ,Ä_ª÷¿Ä       ,20070919,   14.21,   14.29,   14.11,   14.20,     1926,       27339,   1.5737
0055   ,Ä_ª÷¿Ä       ,20070920,   14.25,   14.30,   14.15,   14.16,      815,       11600,  -0.2817
0055   ,Ä_ª÷¿Ä       ,20070921,   14.18,   14.22,   13.91,   14.00,     3363,       47277,  -1.1299
0055   ,Ä_ª÷¿Ä       ,20070926,   14.00,   14.17,   14.00,   14.17,     1155,       16262,   1.2143
0055   ,Ä_ª÷¿Ä       ,20070927,   14.20,   14.28,   14.17,   14.28,     1001,       14247,   0.7763
0055   ,Ä_ª÷¿Ä       ,20070928,   14.32,   14.50,   14.31,   14.35,     1162,       16761,   0.4902
0055   ,Ä_ª÷¿Ä       ,20070929,   14.40,   14.50,   14.37,   14.45,     1056,       15248,   0.6969
0055   ,Ä_ª÷¿Ä       ,20071001,   14.52,   14.63,   14.45,   14.53,     2178,       31705,   0.5536
0055   ,Ä_ª÷¿Ä       ,20071002,   14.55,   15.10,   14.53,   15.00,     3752,       55912,   3.2347
0055   ,Ä_ª÷¿Ä       ,20071003,   15.05,   15.35,   14.99,   15.19,     7313,      111205,   1.2667
0055   ,Ä_ª÷¿Ä       ,20071004,   15.20,   15.20,   15.00,   15.14,     2020,       30482,  -0.3292
0055   ,Ä_ª÷¿Ä       ,20071005,   15.10,   15.12,   14.99,   15.08,     1632,       24543,  -0.3963
0055   ,Ä_ª÷¿Ä       ,20071008,   15.15,   15.39,   15.13,   15.26,     4727,       72182,   1.1936
0055   ,Ä_ª÷¿Ä       ,20071009,   15.26,   15.29,   15.11,   15.18,     1432,       21755,  -0.5242
0055   ,Ä_ª÷¿Ä       ,20071011,   15.20,   15.35,   15.15,   15.18,     1269,       19386,   0.0000
0055   ,Ä_ª÷¿Ä       ,20071012,   15.18,   15.20,   14.76,   14.78,     1883,       28154,  -2.6350
0055   ,Ä_ª÷¿Ä       ,20071015,   14.79,   14.86,   14.73,   14.86,     1542,       22815,   0.5413
0055   ,Ä_ª÷¿Ä       ,20071016,   14.72,   14.96,   14.72,   14.95,      760,       11309,   0.6057
0055   ,Ä_ª÷¿Ä       ,20071017,   14.95,   14.95,   14.76,   14.82,      881,       13108,  -0.8696
0055   ,Ä_ª÷¿Ä       ,20071018,   14.85,   14.90,   14.80,   14.83,      919,       13629,   0.0675
0055   ,Ä_ª÷¿Ä       ,20071019,   14.85,   14.85,   14.72,   14.77,      710,       10498,  -0.4046
0055   ,Ä_ª÷¿Ä       ,20071022,   14.60,   14.60,   14.20,   14.44,     7011,      100453,  -2.2343
0055   ,Ä_ª÷¿Ä       ,20071023,   14.45,   14.55,   14.40,   14.47,     4785,       69152,   0.2078
0055   ,Ä_ª÷¿Ä       ,20071024,   14.59,   14.71,   14.45,   14.45,     3240,       47359,  -0.1382
0055   ,Ä_ª÷¿Ä       ,20071025,   14.55,   14.68,   14.55,   14.62,     4237,       61931,   1.1765
0055   ,Ä_ª÷¿Ä       ,20071026,   14.72,   14.75,   14.62,   14.70,     1231,       18108,   0.5472
0055   ,Ä_ª÷¿Ä       ,20071029,   14.80,   15.12,   14.80,   15.10,     3104,       46459,   2.7211
0055   ,Ä_ª÷¿Ä       ,20071030,   15.10,   15.10,   14.96,   14.99,     1180,       17727,  -0.7285
