證券代碼,簡稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％
1303   ,南亞         ,19980103,   57.00,   57.00,   56.00,   56.50,     2165,      121920,   0.0000
1303   ,南亞         ,19980105,   56.50,   56.50,   55.00,   55.00,     4907,      273506,  -2.6549
1303   ,南亞         ,19980106,   54.50,   55.50,   54.00,   54.50,     2508,      137203,  -0.9091
1303   ,南亞         ,19980107,   54.00,   55.50,   54.00,   54.50,     3842,      209746,   0.0000
1303   ,南亞         ,19980108,   55.00,   56.00,   54.00,   55.00,     6338,      349389,   0.9174
1303   ,南亞         ,19980109,   55.00,   56.50,   54.00,   56.50,    11573,      638731,   2.7273
1303   ,南亞         ,19980112,   55.00,   55.50,   53.00,   53.00,     8576,      464520,  -6.1947
1303   ,南亞         ,19980113,   54.00,   56.50,   53.50,   56.50,    15512,      857720,   6.6038
1303   ,南亞         ,19980114,   57.00,   57.50,   56.00,   57.50,    16190,      924096,   1.7699
1303   ,南亞         ,19980115,   58.00,   58.50,   57.00,   57.50,    20011,     1160848,   0.0000
1303   ,南亞         ,19980116,   57.50,   57.50,   56.50,   56.50,     9313,      531423,  -1.7391
1303   ,南亞         ,19980117,   57.50,   59.00,   57.00,   58.50,    14792,      863270,   3.5398
1303   ,南亞         ,19980119,   59.00,   59.50,   58.50,   59.00,    14591,      861484,   0.8547
1303   ,南亞         ,19980120,   59.50,   59.50,   58.50,   59.50,    11338,      669831,   0.8475
1303   ,南亞         ,19980121,   60.00,   61.00,   60.00,   60.50,    20767,     1255751,   1.6807
1303   ,南亞         ,19980122,   60.00,   60.50,   59.00,   59.50,     9530,      567962,  -1.6529
1303   ,南亞         ,19980202,   60.50,   63.50,   60.50,   63.50,    22261,     1379557,   6.7227
1303   ,南亞         ,19980203,   64.50,   65.00,   63.00,   63.50,    19197,     1232481,   0.0000
1303   ,南亞         ,19980204,   62.50,   62.50,   61.00,   61.50,    17082,     1050692,  -3.1496
1303   ,南亞         ,19980205,   61.00,   63.00,   60.50,   62.50,    15983,      989695,   1.6260
1303   ,南亞         ,19980206,   63.00,   64.00,   61.00,   61.50,    13938,      873922,  -1.6000
1303   ,南亞         ,19980207,   62.00,   63.00,   61.50,   62.00,     8931,      554518,   0.8130
1303   ,南亞         ,19980209,   62.50,   64.50,   62.00,   63.00,    21763,     1379988,   1.6129
1303   ,南亞         ,19980210,   63.50,   64.00,   62.00,   62.00,     6495,      405328,  -1.5873
1303   ,南亞         ,19980211,   62.50,   63.50,   62.00,   62.50,     8668,      543331,   0.8065
1303   ,南亞         ,19980212,   63.00,   64.00,   62.50,   62.50,     9709,      613240,   0.0000
1303   ,南亞         ,19980213,   63.00,   64.50,   62.00,   62.00,    15598,      987660,  -0.8000
1303   ,南亞         ,19980216,   61.00,   62.00,   60.50,   61.00,     7117,      434118,  -1.6129
1303   ,南亞         ,19980217,   60.50,   61.50,   60.00,   61.00,     5271,      319159,   0.0000
1303   ,南亞         ,19980218,   61.50,   62.00,   61.00,   61.00,    10399,      639710,   0.0000
1303   ,南亞         ,19980219,   61.50,   62.00,   61.00,   61.00,     7485,      461472,   0.0000
1303   ,南亞         ,19980220,   61.00,   62.00,   61.00,   61.00,     6759,      413879,   0.0000
