靡ㄩ絏,虏嘿,るら,秨絃基(じ),程蔼基(じ),程基(じ),Μ絃基(じ),Θユ秖(),Θユ(じ),厨筍瞯
2412   ,い地筿       ,20001027,  100.50,  100.50,  100.50,  100.50,     3391,      340795,  -3.3654
2412   ,い地筿       ,20001030,   97.00,   97.00,   97.00,   97.00,       38,        3796,  -3.4826
2412   ,い地筿       ,20001031,   94.00,   94.00,   94.00,   94.00,       78,        7364,  -3.0928
2412   ,い地筿       ,20001101,   91.00,   91.00,   91.00,   91.00,      209,       19041,  -3.1915
2412   ,い地筿       ,20001102,   88.00,   88.00,   88.00,   88.00,     4754,      418399,  -3.2967
2412   ,い地筿       ,20001103,   85.00,   94.00,   85.00,   92.00,    59225,     5103626,   4.5455
2412   ,い地筿       ,20001104,   89.00,   89.00,   89.00,   89.00,     1630,      145124,  -3.2609
2412   ,い地筿       ,20001106,   86.00,   86.50,   86.00,   86.00,    19199,     1651416,  -3.3708
2412   ,い地筿       ,20001107,   83.00,   87.00,   83.00,   84.00,    20453,     1730032,  -2.3256
2412   ,い地筿       ,20001108,   84.00,   89.00,   84.00,   87.00,    17827,     1553366,   3.5714
2412   ,い地筿       ,20001109,   85.50,   85.50,   83.00,   84.50,     8246,      695884,  -2.8736
2412   ,い地筿       ,20001110,   84.00,   89.00,   84.00,   88.50,    13520,     1174943,   4.7337
2412   ,い地筿       ,20001113,   84.00,   86.50,   83.00,   85.50,     8554,      723892,  -3.3898
2412   ,い地筿       ,20001114,   86.00,   88.00,   85.50,   87.00,     7006,      607064,   1.7544
2412   ,い地筿       ,20001115,   89.00,   89.00,   84.00,   85.00,     9362,      809118,  -2.2989
2412   ,い地筿       ,20001116,   84.00,   87.00,   83.00,   85.50,    12019,     1018830,   0.5882
2412   ,い地筿       ,20001117,   84.00,   88.50,   83.50,   88.50,    10804,      933419,   3.5088
2412   ,い地筿       ,20001118,   88.50,   91.50,   87.00,   90.00,    19743,     1766004,   1.6949
2412   ,い地筿       ,20001120,   89.00,   89.50,   86.50,   87.50,     9147,      802416,  -2.7778
2412   ,い地筿       ,20001121,   87.50,   93.50,   87.50,   93.50,    12981,     1191678,   6.8571
2412   ,い地筿       ,20001122,   94.00,   95.00,   91.00,   91.00,    12371,     1151276,  -2.6738
2412   ,い地筿       ,20001123,   90.00,   92.00,   89.00,   92.00,     3418,      309064,   1.0989
2412   ,い地筿       ,20001124,   93.00,   94.00,   91.00,   94.00,     6986,      650825,   2.1739
2412   ,い地筿       ,20001127,   94.50,   95.00,   92.00,   92.50,     7206,      675340,  -1.5957
2412   ,い地筿       ,20001128,   91.50,   95.00,   91.00,   95.00,     6058,      565593,   2.7027
2412   ,い地筿       ,20001129,   94.00,   97.00,   93.50,   97.00,     8335,      794407,   2.1053
2412   ,い地筿       ,20001130,   96.50,   98.00,   95.00,   95.00,     6194,      596693,  -2.0619
2412   ,い地筿       ,20001201,   94.50,   97.00,   94.00,   96.50,     5330,      509768,   1.5789
