transDate,openPrice,highestPrice,lowestPrice,closePrice,volume,value,adjROI
20000104,26.5,27,26.2,27,7430,197941,4.6512
20000105,26.9,27,26.2,26.7,5623,149266,-1.1111
20000106,26.7,27.5,26.6,27.4,9501,257882,2.6217
20000107,29.1,29.3,28.4,29.3,23529,684921,6.9343
20000110,29.7,29.7,28.7,29,12385,360395,-1.0239
20000111,30,30,27.2,27.8,10441,300384,-4.1379
20000112,28,28.6,27.4,27.8,8316,233530,0
20000113,27.9,28.6,27.9,28.3,6800,192489,1.7986
20000114,28.5,29.1,27.7,27.9,7734,220944,-1.4134
20000115,28.2,28.2,27.5,27.7,5933,164357,-0.7168
20000117,28.2,28.8,28,28.8,9176,260872,3.9711
20000118,28.7,28.7,28,28.2,6555,185788,-2.0833
20000119,27.7,28.7,27.7,28,8233,231948,-0.7092
20000120,28.1,28.3,27,27.1,6093,168376,-3.2143
20000121,27.2,27.8,27.2,27.4,3495,96023,1.107
20000124,27.8,28.4,27.6,28.4,6690,187986,3.6496
20000125,28.4,28.4,27.7,27.7,6640,185293,-2.4648
20000126,27.9,28.2,27.8,28.2,5616,157339,1.8051
20000127,28.3,29.5,28.2,28.5,22548,650417,1.0638
20000128,28.6,29.3,28.6,29.3,16621,481467,2.807
20000129,29.5,30.6,29.3,29.4,27325,821465,0.3413
20000131,30.3,30.7,30,30.2,17410,528063,2.7211
20000201,30.5,30.5,29.6,29.8,11323,337368,-1.3245
20000209,30.1,30.1,29.2,29.3,8715,257272,-1.6779
20000210,29.3,31.3,29.3,31.3,21251,652860,6.8259
20000211,31.6,31.6,30.3,30.4,12645,391091,-2.8754
20000214,30.7,31.1,30,30.2,9844,302150,-0.6579
20000215,30.8,30.9,30,30.2,6349,192223,0
20000216,30.5,31.5,30.5,31,10050,310966,2.649
20000217,31.2,33,31,32.7,22829,734596,5.4839
20000218,33,34,31,31.4,20598,674648,-3.9755
20000219,31.4,32,31.1,31.7,7800,246645,0.9554
20000221,32.7,33,31.6,31.6,12123,392065,-0.3155
20000222,31.6,32.1,29.5,30.1,7892,241243,-4.7468
20000223,30.2,30.3,29.1,29.3,5366,159133,-2.6578
20000224,29.4,29.9,29.1,29.4,5460,160488,0.3413
20000225,29.6,29.9,28.6,29.1,6698,196093,-1.0204
20000229,29.8,29.8,28.3,28.9,8336,241097,-0.6873
20000301,29.5,29.7,29.2,29.4,3505,103240,1.7301
20000302,29.7,29.9,29,29.1,2699,79092,-1.0204
20000303,29.1,29.5,28.7,29,2656,76984,-0.3436
20000304,29.1,29.5,28.5,28.5,2839,82257,-1.7241
20000306,28.7,28.7,27,27.7,5509,152093,-2.807
20000307,27.2,27.5,26.4,26.8,7594,203368,-3.2491
20000308,26.6,27,26.2,26.4,5064,134464,-1.4925
20000309,26.7,27.2,26.6,26.7,5598,150443,1.1364
20000310,27.1,27.2,26,26.1,6469,170565,-2.2472
20000313,26,26,24.3,25,7009,173282,-4.2146
20000314,24.5,26.3,24.5,26,7042,178893,4
20000315,25.8,25.8,25.2,25.3,3822,97374,-2.6923
20000316,25,25.8,24.9,25.8,6266,158942,1.9763
20000317,25.8,27.6,25.3,27.6,17678,476538,6.9767
20000320,26.8,29.5,26.8,29.5,38803,1130236,6.8841
20000321,31,31.5,30,31.5,41917,1296514,6.7797
20000322,31.5,33.3,31,33,50552,1630997,4.7619
20000323,33,33.3,32.1,33,36110,1186094,0
20000324,32.5,32.5,31.9,31.9,11379,364694,-3.3333
20000327,31.5,32.4,30.3,31.9,19339,607318,0
20000328,32.2,32.8,31.2,31.4,13287,424704,-1.5674
20000329,31.4,32,30.5,30.5,8012,249843,-2.8662
20000330,30.9,31.2,29.8,29.8,8100,247197,-2.2951
20000331,29.5,30.3,29.1,29.2,10459,308798,-2.0134
20000401,29.2,29.5,28.8,29,4692,135878,-0.6849
20000405,29.2,30.5,29.2,30.3,13356,399315,4.4828
20000406,30.3,30.4,29.4,29.5,6109,181951,-2.6403
20000407,29.8,29.9,29,29,3902,114930,-1.6949
20000408,29.2,29.5,28.2,28.4,5139,147190,-2.069
20000410,28.4,29.4,28,29.1,7554,217036,2.4648
20000411,29.4,29.4,28.8,29.1,4127,119951,0
