transDate,openPrice,highestPrice,lowestPrice,closePrice,volume,value,adjROI
19950105,7129.94,7144.7,7040.72,7051.49,1915000,80604000,-1.027
19950106,7086.88,7086.88,6884.61,6919.31,1921000,77197000,-1.8745
19950107,6948.27,6948.27,6855.55,6915.4,1412000,53479000,-0.0565
19950109,6948.73,6959.74,6869.08,6869.08,1215000,49485000,-0.6698
19950110,6817.85,6838.95,6706.67,6756.88,1615000,64700000,-1.6334
19950111,6736.11,6791.05,6720.07,6777.24,1038000,42289000,0.3013
19950112,6749.62,6749.62,6571.93,6609.5,1387000,55830000,-2.475
19950113,6673.26,6685.93,6582.05,6582.4,1085000,42733000,-0.41
19950114,6565.52,6565.52,6450.79,6511.3,1043000,42330000,-1.0802
19950116,6556.98,6556.98,6473.06,6536.65,1069000,41464000,0.3893
19950117,6564.25,6570.76,6487.73,6515.79,1176000,44250000,-0.3191
19950118,6558.74,6638.41,6546.99,6623.52,1608000,61202000,1.6534
19950119,6635.62,6672.63,6598.02,6598.02,1725000,68679000,-0.385
19950120,6572.85,6572.85,6370.49,6372.01,1666000,66839000,-3.4254
19950121,6344.29,6432.2,6278.54,6431.99,1088000,43366000,0.9413
19950123,6446.9,6451.42,6295.04,6295.04,1176000,47156000,-2.1292
19950124,6180.25,6242.48,6167.79,6167.79,1372000,53297000,-2.0214
19950125,6277.07,6322.24,6260.41,6299.62,1192000,47980000,2.1374
19950126,6293.33,6348.07,6270.68,6307.85,1188000,48675000,0.1306
19950204,6444.53,6455.3,6328.38,6328.38,825000,34178000,0.3255
19950206,6298.01,6417.28,6298.01,6417.28,927000,37289000,1.4048
19950207,6474.84,6554.32,6474.84,6531.82,1462000,59608000,1.7849
19950208,6538.92,6549.19,6491.04,6526.74,1232000,48623000,-0.0778
19950209,6578.69,6601.47,6530,6543.42,1602000,62055000,0.2556
19950210,6574.78,6574.78,6519.57,6554.78,1405000,56531000,0.1736
19950211,6592.13,6598.84,6548.97,6565.24,1305000,51666000,0.1596
19950213,6578.07,6578.07,6498.21,6498.21,1274000,50821000,-1.021
19950214,6505.53,6525.82,6478.31,6504.59,1018000,40230000,0.0982
19950215,6530.01,6581.77,6528.71,6576.25,1372000,56075000,1.1017
19950216,6642.03,6668.63,6617.05,6646.55,1804000,77419000,1.069
19950217,6691.36,6691.36,6635.72,6646.25,1618000,66032000,-0.0045
19950218,6696.29,6696.29,6636.52,6650.29,1290000,50575000,0.0608
19950220,6688.01,6689.18,6604.76,6612.97,1380000,55450000,-0.5612
19950221,6625.32,6638.47,6594.15,6633.03,1010000,40778000,0.3033
19950222,6652.82,6652.82,6595.86,6603.88,1221000,46827000,-0.4395
19950223,6583.49,6614.61,6552.95,6552.95,908000,35545000,-0.7712
19950224,6598.34,6640.57,6582.79,6596.07,917000,38800000,0.658
19950225,6615.64,6625.51,6588.46,6591.36,709000,28975000,-0.0714
19950227,6404.55,6449.46,6284.75,6388.57,1639000,66597000,-3.0766
19950228,6436.46,6509.33,6408.83,6509.33,1236000,48541000,1.8903
19950301,6436.26,6446.95,6331.17,6337.83,1292000,52120000,-2.6347
19950302,6436.47,6474.76,6419,6450.39,860000,37674000,1.776
19950303,6478.98,6516.83,6478.98,6516.83,830000,36109000,1.03
19950304,6528.32,6530.74,6497.24,6530.74,706000,28699000,0.2134
19950306,6529.34,6540.13,6474.94,6474.94,670000,26748000,-0.8544
19950307,6479.35,6496.21,6437.46,6480.76,744000,30351000,0.0899
19950308,6478.59,6511.29,6426.07,6426.07,832000,33067000,-0.8439
19950309,6432.3,6466.9,6388.36,6388.36,701000,28147000,-0.5868
19950310,6435.94,6460,6428.81,6453.52,717000,29261000,1.02
19950311,6495.5,6509.89,6480.47,6480.98,826000,32648000,0.4255
19950313,6520.41,6525.89,6496.41,6503.18,895000,34788000,0.3425
19950314,6501.05,6501.05,6455.18,6480.31,772000,31934000,-0.3517
19950315,6524.07,6557.33,6519.01,6555.19,1145000,51690000,1.1555
19950316,6596.75,6604.44,6564.66,6564.66,1015000,45672000,0.1445
19950317,6614.79,6618.4,6582.59,6594.26,1037000,47293000,0.4509
19950318,6625.43,6625.43,6574.45,6587.96,699000,31035000,-0.0955
19950320,6585.25,6585.25,6541.58,6541.58,724000,32771000,-0.704
19950321,6585.79,6587.4,6520.08,6524.87,703000,30958000,-0.2554
19950322,6438.85,6479.01,6355.71,6479.01,982000,44634000,-0.7028
19950323,6496.31,6496.31,6439.39,6441.85,518000,23309000,-0.5735
19950324,6434.02,6471.63,6428.6,6433.44,580000,27590000,-0.1306
19950325,6461.75,6465.73,6399.39,6401.39,630000,34042000,-0.4982
19950327,6404.8,6470.28,6366.75,6470.28,879000,45917000,1.0762
19950328,6506.75,6506.75,6463.88,6464.76,1084000,52251000,-0.0853
19950330,6482.44,6514.46,6460.95,6514.46,1243000,59792000,0.7688
19950331,6534.64,6557.97,6524,6524,1135000,55247000,0.1464
19950401,6537.18,6573.54,6503.97,6573.54,812000,41088000,0.7594
19950406,6599.29,6599.29,6571.01,6575.71,1188000,58595000,0.033
19950407,6593.69,6593.69,6518.83,6518.83,1146000,55550000,-0.865
19950408,6548.57,6552.49,6500.35,6552.49,985000,44820000,0.5164
19950410,6561.93,6583.28,6528.98,6528.98,994000,43558000,-0.3588
19950411,6535.1,6541.02,6497.06,6497.06,840000,37697000,-0.4889
19950412,6532.52,6532.52,6453.94,6462.34,718000,34309000,-0.5344
19950413,6476.57,6476.57,6411.23,6417.58,697000,33240000,-0.6926
19950414,6427.9,6444.63,6356.55,6356.55,871000,42246000,-0.951
19950415,6351.87,6394.69,6247.75,6247.75,984000,46054000,-1.7116
19950417,6218.43,6239.74,6086.7,6112.07,913000,41974000,-2.1717
19950418,6163.18,6163.18,6050.81,6106.56,840000,40015000,-0.0901
19950419,6141.59,6141.59,6095.02,6109.6,544000,25560000,0.0498
19950420,6132.43,6167.56,6125.73,6136.54,525000,23543000,0.4409
19950421,6158.92,6158.92,5932.58,5943.21,1041000,49056000,-3.1505
19950422,5981.13,5999.06,5913.18,5987.93,686000,30745000,0.7525
19950424,5992.32,6006.51,5945.93,5963.86,705000,34521000,-0.402
19950425,5936.46,5936.46,5776.68,5803.14,1051000,49253000,-2.6949
19950426,5858.57,5864.01,5667.55,5735.23,1054000,48153000,-1.1702
19950427,5769.76,5898.53,5727.79,5898.53,951000,41258000,2.8473
19950428,5820.07,5854.92,5786.91,5825.99,798000,34707000,-1.2298
19950429,5853.81,5861.11,5803.78,5803.78,525000,23108000,-0.3812
19950501,5821.33,5821.33,5763.44,5789.98,529000,22028000,-0.2378
19950502,5738.25,5771.81,5661.59,5771.81,852000,35088000,-0.3138
19950503,5799.47,5835.22,5779.68,5779.68,687000,29222000,0.1364
19950504,5797.79,5797.79,5699.14,5699.14,748000,32031000,-1.3935
19950505,5645.88,5670.53,5571.95,5574.99,1011000,44089000,-2.1784
19950506,5537.65,5642.16,5537.65,5642.16,656000,28302000,1.2048
19950508,5630.11,5674.53,5615.46,5674.53,711000,30325000,0.5737
19950509,5674.36,5789.45,5674.36,5775.15,1085000,44820000,1.7732
19950510,5768.45,5794.69,5742.31,5765.42,947000,41668000,-0.1685
19950511,5785.41,5820.52,5776.18,5776.18,866000,37913000,0.1866
19950512,5758.24,5768.65,5715.87,5740.02,714000,29957000,-0.626
19950513,5789.33,5848.09,5788.6,5844.29,849000,37900000,1.8165
19950515,5844.86,5852.83,5825.19,5828.21,760000,34503000,-0.2751
19950516,5816.74,5823.83,5773.01,5799.88,653000,27400000,-0.4861
19950517,5823.84,5838.16,5771.46,5771.46,697000,31542000,-0.49
19950518,5746.9,5760.56,5728.23,5758.53,544000,23843000,-0.224
19950519,5778.99,5786.98,5738.92,5757.65,620000,27012000,-0.0153
19950520,5791.64,5797.06,5730.94,5730.94,565000,24057000,-0.4639
19950522,5722.62,5728.24,5690.63,5705.5,504000,21684000,-0.4439
19950523,5742.49,5742.49,5705.03,5705.03,529000,23611000,-0.0082
19950524,5683.19,5683.19,5626.96,5645.71,661000,28859000,-1.0398
19950525,5623.2,5688.85,5618.99,5618.99,662000,32770000,-0.4733
19950526,5561,5597.93,5512.99,5561.15,771000,33591000,-1.0294
19950527,5598.13,5598.13,5524.07,5524.07,506000,22402000,-0.6668
19950529,5493.94,5597.44,5417.47,5597.44,757000,33638000,1.3282
19950530,5590.53,5676.07,5590.53,5647.07,838000,35310000,0.8867
19950531,5662.26,5707.22,5652.46,5674.55,770000,33751000,0.4866
19950601,5703.81,5727.65,5692.91,5714.33,682000,28653000,0.701
19950605,5745.83,5745.83,5671.18,5671.18,593000,23965000,-0.7551
19950606,5664.13,5680.42,5629.24,5678.31,622000,25549000,0.1257
19950607,5726.97,5743.5,5681.58,5681.58,973000,38159000,0.0576
19950608,5677.45,5694.37,5638.03,5641.02,625000,24541000,-0.7139
19950609,5646.58,5646.58,5603.74,5609.79,512000,21043000,-0.5536
19950610,5602.79,5641.19,5587.44,5641.19,382000,15596000,0.5597
19950612,5664.15,5664.15,5615.7,5620.94,434000,17795000,-0.359
19950613,5622.72,5623.36,5513.7,5513.7,661000,27861000,-1.9079
19950614,5478.3,5482.5,5400.11,5413.74,848000,34987000,-1.8129
19950615,5459.07,5459.07,5318.79,5360.09,880000,36787000,-0.991
19950616,5401.09,5443.43,5350.48,5443.43,839000,33367000,1.5548
19950617,5344.3,5377.05,5328.37,5341.2,720000,28261000,-1.878
19950619,5329.85,5329.85,5249.88,5249.88,685000,25632000,-1.7097
19950620,5293.18,5332.71,5248.36,5317.04,760000,27543000,1.2793
19950621,5320.02,5320.02,5238.79,5238.79,742000,27274000,-1.4717
19950622,5249.21,5361.6,5199.86,5361.21,1014000,36576000,2.3368
19950623,5397.96,5527.2,5392.57,5490.79,1293000,47274000,2.417
19950624,5545.34,5629.44,5528.75,5629.44,1029000,42744000,2.5251
19950626,5681.53,5690.74,5616.48,5646.83,1369000,57541000,0.3089
19950627,5609.06,5660.01,5579.3,5593.01,1024000,43166000,-0.9531
19950628,5580.2,5611.36,5495.88,5495.88,931000,38580000,-1.7366
19950629,5533.47,5566.81,5436.72,5444.63,989000,44315000,-0.9325
19950630,5479.22,5479.22,5410.96,5444.97,720000,31178000,0.0062
19950703,5402.04,5417.21,5309.41,5312.94,692000,28386000,-2.4248
19950704,5365.38,5369.05,5294.18,5320.25,661000,26621000,0.1376
19950705,5392.23,5482.32,5366.65,5482.32,886000,37142000,3.0463
19950706,5490.64,5549.21,5477.68,5478.18,1048000,40721000,-0.0755
19950707,5537.89,5618.2,5529.42,5598.74,1289000,47598000,2.2007
19950708,5668.68,5668.68,5580,5591.77,1158000,44600000,-0.1245
19950710,5626.17,5626.17,5557.31,5569.83,788000,30911000,-0.3924
19950711,5586.68,5594.87,5543.07,5594.87,726000,28815000,0.4496
19950712,5652.87,5670.5,5624.69,5624.69,1116000,44284000,0.533
19950713,5612.77,5612.77,5578.92,5593,777000,30015000,-0.5634
19950714,5609.93,5624.4,5549.7,5549.7,911000,35606000,-0.7742
19950715,5486.03,5525.4,5477.02,5505.98,684000,26966000,-0.7878
19950717,5512.48,5514.26,5421.57,5429.4,737000,28785000,-1.3909
19950718,5385.36,5416.94,5337.53,5416.94,793000,30400000,-0.2295
19950719,5249.52,5304.3,5162.08,5187.79,1216000,45030000,-4.2302
19950720,5179.68,5185.91,5047.72,5047.72,1056000,37649000,-2.7
19950721,5073.4,5149.68,5058.7,5058.7,1084000,37680000,0.2175
19950722,5095.94,5116.91,4950.14,5116.91,1013000,36561000,1.1507
19950724,5066.53,5134.4,5066.29,5134.4,858000,29163000,0.3418
19950725,5152.94,5152.94,4994.7,4994.7,939000,33857000,-2.7209
19950726,4926.16,5030.97,4926.16,5001.6,850000,30089000,0.1381
19950727,5218.75,5285.51,5181.26,5279.32,1353000,47312000,5.5526
19950728,5256.27,5335.32,5256.27,5297.11,1101000,41791000,0.337
19950729,5264.37,5291.21,5218.42,5218.42,755000,27761000,-1.4855
19950731,5159.19,5198.26,5153.02,5180.42,560000,21151000,-0.7282
19950801,5188.25,5214.13,5147.68,5199.63,633000,23187000,0.3708
19950802,5228.59,5228.59,5042.79,5042.79,903000,32043000,-3.0164
19950803,4936.9,5051.15,4936.9,5051.15,854000,29807000,0.1658
19950804,5112.15,5112.15,4954.98,5071.89,1010000,34202000,0.4106
19950805,4802.24,4879.51,4802.24,4823.86,990000,33061000,-4.8903
19950807,4800.6,4921.44,4761.7,4919.11,1035000,33282000,1.9746
19950808,4911.26,4938.48,4881.85,4917.09,840000,26011000,-0.0411
19950809,4828.33,4832.65,4715.85,4729.37,990000,31536000,-3.8177
19950810,4769.26,4786.89,4730.32,4769.85,822000,25485000,0.8559
19950811,4628.8,4640.15,4544.63,4551.89,1138000,34518000,-4.5695
19950812,4720.8,4720.8,4648.37,4648.37,1128000,35188000,2.1196
19950814,4585.97,4609.52,4499.95,4503.37,989000,27670000,-3.1194
19950815,4559.37,4591.41,4474.32,4591.41,1211000,34437000,1.955
19950816,4613.73,4794.23,4605.43,4792.39,1567000,46751000,4.3773
19950817,4814.22,4906.48,4796.11,4825.78,1843000,54513000,0.6967
19950818,4774.09,4840.54,4774.09,4830.34,1072000,31358000,0.0945
19950819,4787.27,4798.45,4741.79,4742.81,751000,21832000,-1.8121
19950821,4731.56,4778.42,4731.03,4773.38,619000,18492000,0.6446
19950822,4774.32,4807.21,4736.11,4807.21,629000,19615000,0.7087
19950823,4831.16,4869.28,4750.43,4753.37,983000,30002000,-1.12
19950824,4757.33,4762.01,4630.98,4654.39,871000,25818000,-2.0823
19950825,4636.57,4670.61,4584.18,4670.61,918000,26692000,0.3485
19950826,4722.23,4741.43,4650.44,4650.44,840000,23050000,-0.4318
19950828,4669.18,4730.56,4640.19,4730.56,697000,19368000,1.7228
