證券代碼,簡稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％
Y2800  ,金融類       ,19950105, 1635.20, 1635.20, 1608.21, 1608.21,    89035,     8615756,  -1.6506
Y2800  ,金融類       ,19950106, 1608.21, 1608.21, 1599.71, 1599.71,    81618,     7967788,  -0.5285
Y2800  ,金融類       ,19950107, 1599.71, 1609.34, 1599.71, 1609.34,    42325,     4406484,   0.6020
Y2800  ,金融類       ,19950109, 1609.34, 1609.34, 1602.72, 1602.72,    81098,     7145167,  -0.4113
Y2800  ,金融類       ,19950110, 1602.72, 1602.72, 1589.60, 1589.60,    90159,     9256086,  -0.8186
Y2800  ,金融類       ,19950111, 1589.60, 1599.40, 1589.60, 1599.40,    73040,     7354640,   0.6165
Y2800  ,金融類       ,19950112, 1599.40, 1599.40, 1564.27, 1564.27,    94500,     9773682,  -2.1964
Y2800  ,金融類       ,19950113, 1564.27, 1564.27, 1549.88, 1549.88,    55154,     6076911,  -0.9199
Y2800  ,金融類       ,19950114, 1549.88, 1549.88, 1528.92, 1528.92,    63338,     6906135,  -1.3524
Y2800  ,金融類       ,19950116, 1528.92, 1530.36, 1528.92, 1530.36,    41645,     4374970,   0.0942
Y2800  ,金融類       ,19950117, 1530.36, 1530.36, 1523.51, 1523.51,    39378,     4064911,  -0.4476
Y2800  ,金融類       ,19950118, 1523.51, 1528.68, 1523.51, 1528.68,    46338,     4830075,   0.3393
Y2800  ,金融類       ,19950119, 1528.68, 1528.68, 1517.26, 1517.26,    52543,     5776590,  -0.7470
Y2800  ,金融類       ,19950120, 1517.26, 1517.26, 1462.72, 1462.72,   101140,    10759176,  -3.5946
Y2800  ,金融類       ,19950121, 1462.72, 1470.11, 1462.72, 1470.11,    51691,     5400228,   0.5052
Y2800  ,金融類       ,19950123, 1470.11, 1470.11, 1439.91, 1439.91,    46380,     4812126,  -2.0543
Y2800  ,金融類       ,19950124, 1439.91, 1439.91, 1407.23, 1407.23,    71349,     7206037,  -2.2696
Y2800  ,金融類       ,19950125, 1407.23, 1442.72, 1407.23, 1442.72,    60541,     6163181,   2.5220
Y2800  ,金融類       ,19950126, 1442.72, 1453.69, 1442.72, 1453.69,    74333,     7489121,   0.7604
Y2800  ,金融類       ,19950204, 1453.69, 1453.69, 1448.66, 1448.66,    38893,     4201441,  -0.3460
Y2800  ,金融類       ,19950206, 1448.66, 1452.37, 1448.66, 1452.37,    30147,     3195399,   0.2561
Y2800  ,金融類       ,19950207, 1452.37, 1498.09, 1452.37, 1498.09,    78018,     7711066,   3.1480
Y2800  ,金融類       ,19950208, 1498.09, 1498.09, 1480.33, 1480.33,    57289,     5353157,  -1.1855
Y2800  ,金融類       ,19950209, 1480.33, 1480.33, 1477.01, 1477.01,    55038,     5143368,  -0.2243
Y2800  ,金融類       ,19950210, 1477.01, 1477.01, 1468.69, 1468.69,    35591,     3387092,  -0.5633
Y2800  ,金融類       ,19950211, 1468.69, 1468.69, 1465.77, 1465.77,    27323,     2680496,  -0.1988
Y2800  ,金融類       ,19950213, 1465.77, 1465.77, 1450.95, 1450.95,    31033,     3102615,  -1.0111
Y2800  ,金融類       ,19950214, 1450.95, 1450.95, 1447.15, 1447.15,    25748,     2593530,  -0.2619
Y2800  ,金融類       ,19950215, 1447.15, 1458.39, 1447.15, 1458.39,    31238,     2998861,   0.7767
Y2800  ,金融類       ,19950216, 1458.39, 1481.62, 1458.39, 1481.62,    55571,     5555386,   1.5929
Y2800  ,金融類       ,19950217, 1481.62, 1481.62, 1468.54, 1468.54,    35891,     3671249,  -0.8828
Y2800  ,金融類       ,19950218, 1468.54, 1468.54, 1462.33, 1462.33,    26925,     2908269,  -0.4229
Y2800  ,金融類       ,19950220, 1462.33, 1462.33, 1460.80, 1460.80,    42620,     4352437,  -0.1046
Y2800  ,金融類       ,19950221, 1460.80, 1467.05, 1460.80, 1467.05,    23248,     2404577,   0.4278
Y2800  ,金融類       ,19950222, 1467.05, 1467.05, 1462.80, 1462.80,    23714,     2456929,  -0.2897
Y2800  ,金融類       ,19950223, 1462.80, 1462.80, 1457.60, 1457.60,    25899,     2737125,  -0.3555
Y2800  ,金融類       ,19950224, 1457.60, 1473.96, 1457.60, 1473.96,    53275,     5458163,   1.1224
Y2800  ,金融類       ,19950225, 1473.96, 1473.96, 1467.01, 1467.01,    31797,     3272449,  -0.4715
