證券代碼,簡稱,年月日,市值(百萬元)
2330,台積電       ,20050103,1185850
2412,中華電       ,20050103,602982
2882,國泰金       ,20050103,532393
6505,台塑化       ,20050103,493976
2317,鴻海         ,20050103,470113
2303,聯電         ,20050103,362956
2002,中鋼         ,20050103,353035
1303,南亞         ,20050103,340052
1326,台化         ,20050103,292571
1301,台塑         ,20050103,280240
2881,富邦金       ,20050103,269909
2886,兆豐金       ,20050103,247772
2409,友達         ,20050103,218649
2891,中信金       ,20050103,218480
2357,華碩         ,20050103,215721
2382,廣達         ,20050103,174005
3045,台灣大       ,20050103,172071
2883,開發金       ,20050103,171577
2454,聯發科       ,20050103,165407
2880,華南金       ,20050103,152324
2892,第一金       ,20050103,151489
4904,遠傳         ,20050103,147160
2887,台新金       ,20050103,131778
2353,宏碁         ,20050103,109901
2324,仁寶         ,20050103,105489
2801,彰銀         ,20050103,105327
1402,遠東新       ,20050103,97651
2311,日月光       ,20050103,97595
2475,華映         ,20050103,95646
2888,新光金       ,20050103,91862
2408,南科         ,20050103,91831
2308,台達電       ,20050103,87228
2301,光寶科       ,20050103,84659
2352,佳世達       ,20050103,83109
2603,長榮         ,20050103,79328
2884,玉山金       ,20050103,77075
2890,永豐金       ,20050103,74975
2609,陽明         ,20050103,69423
9904,寶成         ,20050103,60507
2610,華航         ,20050103,57108
1216,統一         ,20050103,56706
1101,台泥         ,20050103,56619
2325,矽品         ,20050103,55363
2344,華邦電       ,20050103,54714
2323,中環         ,20050103,54584
2371,大同         ,20050103,54575
2204,中華         ,20050103,54511
1605,華新         ,20050103,54190
2615,萬海         ,20050103,52984
2201,裕隆         ,20050103,52887
2885,元大金       ,20050103,52612
6116,彩晶         ,20050103,52131
2618,長榮航       ,20050103,51361
1102,亞泥         ,20050103,49279
2834,臺企銀       ,20050103,47914
2912,統一超       ,20050103,46673
3034,聯詠         ,20050103,42249
2105,正新         ,20050103,42167
1802,台玻         ,20050103,42017
2498,宏達電       ,20050103,41722
2401,凌陽         ,20050103,39211
2347,聯強         ,20050103,38750
2606,裕民         ,20050103,36823
2337,旺宏         ,20050103,36254
3019,亞光         ,20050103,34721
2356,英業達       ,20050103,34619
1722,台肥         ,20050103,34202
2354,鴻準         ,20050103,34188
2207,和泰         ,20050103,34136
2501,國建         ,20050103,32633
2845,遠東銀       ,20050103,32051
2227,裕日車       ,20050103,30750
2395,研華         ,20050103,28820
3051,力特         ,20050103,28314
2837,萬泰銀       ,20050103,27804
2889,國票金       ,20050103,27346
1434,福懋         ,20050103,26879
2349,錸德         ,20050103,26367
2327,國巨         ,20050103,26274
2023,燁輝         ,20050103,25849
2379,瑞昱         ,20050103,25837
2014,中鴻         ,20050103,25829
1907,永豐餘       ,20050103,24877
1710,東聯         ,20050103,24149
6239,力成         ,20050103,23998
2376,技嘉         ,20050103,23981
2384,勝華         ,20050103,23814
2388,威盛         ,20050103,22359
2833,台壽         ,20050103,21944
1718,中纖         ,20050103,21901
1504,東元         ,20050103,21070
2015,豐興         ,20050103,20889
2855,統一證       ,20050103,20300
2332,友訊         ,20050103,20148
2812,台中銀       ,20050103,19994
1319,東陽         ,20050103,19918
2849,安泰銀       ,20050103,19657
1451,年興         ,20050103,19387
3037,欣興         ,20050103,19318
2474,可成         ,20050103,19190
2838,聯邦銀       ,20050103,19067
2451,創見         ,20050103,19058
2820,華票         ,20050103,18717
3008,大立光       ,20050103,18691
6005,群益證       ,20050103,18554
2377,微星         ,20050103,18532
2006,東鋼         ,20050103,18500
2903,遠百         ,20050103,18359
2312,金寶         ,20050103,18062
2847,大眾銀       ,20050103,17582
2363,矽統         ,20050103,17423
2856,元富證       ,20050103,17396
6176,瑞儀         ,20050103,17339
1440,南紡         ,20050103,17250
5522,遠雄         ,20050103,17021
2331,精英         ,20050103,16924
9917,中保         ,20050103,16785
2607,榮運         ,20050103,16754
2449,京元電       ,20050103,16597
2392,正崴         ,20050103,16560
2605,新興         ,20050103,16323
9921,巨大         ,20050103,15410
9907,統一實       ,20050103,15333
2823,中壽         ,20050103,14818
9910,豐泰         ,20050103,14585
3231,緯創         ,20050103,14429
1904,正隆         ,20050103,14139
3035,智原         ,20050103,14137
2029,盛餘         ,20050103,13810
6605,帝寶         ,20050103,13754
1310,台苯         ,20050103,13407
2614,東森         ,20050103,13114
1314,中石化       ,20050103,12928
3006,晶豪科       ,20050103,12808
1409,新纖         ,20050103,12789
1717,長興         ,20050103,12607
2836,高雄銀       ,20050103,12535
6282,康舒         ,20050103,12277
2385,群光         ,20050103,12101
2809,京城銀       ,20050103,11951
2915,潤泰全       ,20050103,11781
1503,士電         ,20050103,11669
9933,中鼎         ,20050103,11608
2495,普安         ,20050103,11545
2206,三陽         ,20050103,11476
2402,毅嘉         ,20050103,11382
2313,華通         ,20050103,11182
3189,景碩         ,20050103,11100
3044,健鼎         ,20050103,11098
1103,嘉泥         ,20050103,10984
2504,國產         ,20050103,10854
2101,南港         ,20050103,10824
4906,正文         ,20050103,10804
1729,必翔         ,20050103,10658
1737,臺鹽         ,20050103,10314
2106,建大         ,20050103,10296
1527,鑽全         ,20050103,10274
9940,信義         ,20050103,10111
1304,台聚         ,20050103,10105
1313,聯成         ,20050103,10068
3049,和鑫         ,20050103,10010
1905,華紙         ,20050103,9993
2010,春源         ,20050103,9860
1604,聲寶         ,20050103,9825
2617,台航         ,20050103,9818
1723,中碳         ,20050103,9791
2515,中工         ,20050103,9716
2441,超豐         ,20050103,9523
2524,京城         ,20050103,9514
2534,宏盛         ,20050103,9510
2439,美律         ,20050103,9427
6153,嘉聯益       ,20050103,9417
1229,聯華         ,20050103,9144
2345,智邦         ,20050103,9061
2328,廣宇         ,20050103,8997
1312,國喬         ,20050103,8957
5305,敦南         ,20050103,8868
2393,億光         ,20050103,8839
2511,太子         ,20050103,8831
2031,新光鋼       ,20050103,8527
2707,晶華         ,20050103,8452
2103,台橡         ,20050103,8441
1507,永大         ,20050103,8421
4532,瑞智         ,20050103,8118
2908,特力         ,20050103,7983
2547,日勝生       ,20050103,7980
2430,燦坤         ,20050103,7963
5608,四維航       ,20050103,7772
6139,亞翔         ,20050103,7680
1513,中興電       ,20050103,7632
3026,禾伸堂       ,20050103,7622
2536,宏普         ,20050103,7520
3380,明泰         ,20050103,7500
1704,榮化         ,20050103,7496
9937,全國         ,20050103,7478
2492,華新科       ,20050103,7384
9934,成霖         ,20050103,7337
2542,興富發       ,20050103,7313
2514,龍邦         ,20050103,7240
2704,國賓         ,20050103,7237
3010,華立         ,20050103,7175
9941,裕融         ,20050103,7168
6209,今國光       ,20050103,7146
1726,永記         ,20050103,7135
1903,士紙         ,20050103,6995
3311,閎暉         ,20050103,6927
6191,精成科       ,20050103,6919
2360,致茂         ,20050103,6913
5203,訊連         ,20050103,6857
2008,高興昌       ,20050103,6781
1736,喬山         ,20050103,6772
6202,盛群         ,20050103,6754
9908,大台北       ,20050103,6738
2027,大成鋼       ,20050103,6728
1522,堤維西       ,20050103,6715
2905,三商行       ,20050103,6713
5007,三星         ,20050103,6629
6235,華孚         ,20050103,6629
1305,華夏         ,20050103,6584
2458,義隆         ,20050103,6526
2373,震旦行       ,20050103,6516
2489,瑞軒         ,20050103,6485
2910,統領         ,20050103,6470
2316,楠梓電       ,20050103,6469
9905,大華         ,20050103,6466
2355,敬鵬         ,20050103,6460
1201,味全         ,20050103,6452
9924,福興         ,20050103,6448
2404,漢唐         ,20050103,6442
