證券代碼,簡稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,市值(百萬元),報酬率-Ln
1101   ,台泥         ,20000104,   33.80,   34.60,   33.80,   34.60,    51187,     1759868,   6.7901,   2.3304,       75998,   6.5695
1101   ,台泥         ,20000105,   33.90,   36.40,   33.90,   35.50,    78978,     2784311,   2.6012,   3.5956,       77975,   2.5679
1101   ,台泥         ,20000106,   35.20,   35.60,   33.70,   34.00,    39235,     1365304,  -4.2254,   1.7863,       74681,  -4.3172
1101   ,台泥         ,20000107,   32.60,   34.10,   32.00,   33.90,    46146,     1530665,  -0.2941,   2.1009,       74461,  -0.2946
1101   ,台泥         ,20000110,   34.00,   35.20,   33.50,   35.00,    41467,     1422549,   3.2448,   1.8879,       76877,   3.1933
1101   ,台泥         ,20000111,   36.10,   36.50,   33.30,   34.00,    41495,     1452286,  -2.8571,   1.8891,       74681,  -2.8988
1101   ,台泥         ,20000112,   33.80,   34.40,   33.10,   33.10,    22061,      745506,  -2.6471,   1.0044,       72704,  -2.6827
1101   ,台泥         ,20000113,   33.50,   35.00,   33.00,   34.10,    48236,     1638678,   3.0211,   2.1960,       74900,   2.9764
1101   ,台泥         ,20000114,   34.30,   34.60,   33.00,   33.40,    20328,      684607,  -2.0528,   0.9255,       73363,  -2.0741
1101   ,台泥         ,20000115,   33.80,   34.40,   33.60,   33.70,    14020,      475070,   0.8982,   0.6383,       74022,   0.8942
1101   ,台泥         ,20000117,   34.10,   35.20,   33.70,   34.60,    35022,     1211213,   2.6706,   1.5944,       75998,   2.6356
1101   ,台泥         ,20000118,   34.60,   34.60,   33.60,   33.70,    15704,      534892,  -2.6012,   0.7150,       74022,  -2.6356
1101   ,台泥         ,20000119,   33.50,   34.80,   33.50,   33.80,    33137,     1135435,   0.2967,   1.5086,       74241,   0.2963
1101   ,台泥         ,20000120,   34.20,   36.10,   34.20,   36.10,    90883,     3246441,   6.8047,   4.1376,       79293,   6.5832
1101   ,台泥         ,20000121,   36.90,   38.60,   36.90,   37.80,   107849,     4066474,   4.7091,   4.9100,       83027,   4.6016
1101   ,台泥         ,20000124,   38.40,   40.30,   37.80,   39.70,    86533,     3388493,   5.0265,   3.9396,       87201,   4.9042
1101   ,台泥         ,20000125,   38.90,   39.40,   38.10,   38.90,    38242,     1483839,  -2.0151,   1.7410,       85443,  -2.0357
1101   ,台泥         ,20000126,   39.40,   40.60,   38.70,   40.60,    69022,     2743501,   4.3702,   3.1424,       89177,   4.2774
1101   ,台泥         ,20000127,   40.60,   41.00,   39.50,   39.50,    35775,     1437199,  -2.7094,   1.6287,       86761,  -2.7467
1101   ,台泥         ,20000128,   39.20,   39.30,   37.50,   38.00,    31133,     1195225,  -3.7975,   1.4174,       83467,  -3.8715
1101   ,台泥         ,20000129,   37.50,   39.00,   37.50,   38.40,    28891,     1110990,   1.0526,   1.3153,       84345,   1.0471
1101   ,台泥         ,20000131,   38.00,   38.80,   38.00,   38.30,    23212,      891610,  -0.2604,   1.0568,       84125,  -0.2608
1101   ,台泥         ,20000201,   38.80,   40.90,   38.70,   40.90,    60739,     2433008,   6.7885,   2.7653,       89836,   6.5680
1101   ,台泥         ,20000209,   43.00,   43.70,   42.10,   43.70,    70640,     3040886,   6.8460,   3.2160,       95987,   6.6218
1101   ,台泥         ,20000210,   43.70,   44.90,   43.20,   43.80,    66053,     2917056,   0.2288,   3.0072,       96206,   0.2286
1101   ,台泥         ,20000211,   44.10,   46.80,   44.10,   46.80,    47808,     2202593,   6.8493,   2.1766,      102796,   6.6249
1101   ,台泥         ,20000214,   47.00,   47.00,   44.80,   45.50,    36751,     1694100,  -2.7778,   1.6732,       99940,  -2.8171
1101   ,台泥         ,20000215,   45.80,   47.60,   45.80,   47.10,    38119,     1788124,   3.5165,   1.7354,      103455,   3.4561
1101   ,台泥         ,20000216,   48.70,   50.00,   48.00,   50.00,    41592,     2052362,   6.1571,   1.8936,      109825,   5.9750
1101   ,台泥         ,20000217,   51.50,   53.50,   51.50,   53.50,    26184,     1386896,   7.0000,   1.1921,      117512,   6.7659
1101   ,台泥         ,20000218,   55.00,   55.50,   50.00,   51.00,    69982,     3662111,  -4.6729,   3.1861,      112021,  -4.7856
1101   ,台泥         ,20000219,   54.50,   54.50,   52.00,   54.00,   118922,     6381291,   5.8824,   5.4142,      118611,   5.7158
1101   ,台泥         ,20000221,   52.00,   52.50,   50.50,   50.50,    64657,     3293776,  -6.4815,   2.9436,      110923,  -6.7011
1101   ,台泥         ,20000222,   47.80,   48.80,   47.00,   47.00,    22986,     1092283,  -6.9307,   1.0465,      103235,  -7.1826
1101   ,台泥         ,20000223,   45.00,   47.90,   45.00,   45.90,    76409,     3547333,  -2.3404,   3.4787,      100819,  -2.3682
1101   ,台泥         ,20000224,   46.00,   47.00,   45.00,   46.50,    58462,     2694507,   1.3072,   2.6616,      102137,   1.2987
1101   ,台泥         ,20000225,   46.30,   46.30,   43.30,   43.30,    38654,     1711513,  -6.8817,   1.7598,       95108,  -7.1300
1101   ,台泥         ,20000229,   43.30,   43.90,   40.50,   43.10,    60415,     2536658,  -0.4619,   2.7505,       94669,  -0.4630
1101   ,台泥         ,20000301,   43.90,   44.30,   42.50,   43.20,    83892,     3656260,   0.2320,   3.8193,       94888,   0.2317
1101   ,台泥         ,20000302,   46.10,   46.10,   43.10,   43.10,    73821,     3286646,  -0.2315,   3.3608,       94669,  -0.2317
1101   ,台泥         ,20000303,   43.00,   44.10,   43.00,   43.10,    47379,     2059580,   0.0000,   2.1570,       94669,   0.0000
1101   ,台泥         ,20000304,   43.80,   43.80,   40.80,   41.10,    53726,     2261712,  -4.6404,   2.4460,       90276,  -4.7515
1101   ,台泥         ,20000306,   41.10,   41.10,   38.60,   38.60,    36716,     1466837,  -6.0827,   1.6716,       84784,  -6.2756
1101   ,台泥         ,20000307,   38.20,   40.50,   38.20,   39.90,    84172,     3336999,   3.3679,   3.8321,       87640,   3.3124
1101   ,台泥         ,20000308,   39.80,   39.80,   38.50,   38.70,    39652,     1547053,  -3.0075,   1.8052,       85004,  -3.0537
1101   ,台泥         ,20000309,   39.50,   40.90,   39.40,   40.30,    63268,     2541167,   4.1344,   2.8804,       88518,   4.0512
1101   ,台泥         ,20000310,   40.90,   41.00,   38.00,   38.00,    41908,     1653727,  -5.7072,   1.9079,       83467,  -5.8765
1101   ,台泥         ,20000313,   36.50,   36.80,   35.40,   35.40,    20722,      739911,  -6.8421,   0.9434,       77756,  -7.0874
1101   ,台泥         ,20000314,   34.50,   36.50,   33.20,   36.50,    48079,     1680331,   3.1073,   2.1889,       80172,   3.0600
1101   ,台泥         ,20000315,   36.10,   36.90,   34.00,   34.00,    24557,      879985,  -6.8493,   1.1180,       74681,  -7.0952
1101   ,台泥         ,20000316,   32.60,   33.70,   31.70,   32.50,    25343,      831053,  -4.4118,   1.1538,       71386,  -4.5120
1101   ,台泥         ,20000317,   33.00,   34.50,   32.20,   33.30,    51673,     1750867,   2.4615,   2.3525,       73143,   2.4317
1101   ,台泥         ,20000320,   32.20,   33.30,   32.20,   32.30,    52193,     1689324,  -3.0030,   2.3762,       70946,  -3.0490
1101   ,台泥         ,20000321,   32.00,   34.50,   31.80,   34.30,    65458,     2185847,   6.1920,   2.9801,       75339,   6.0078
1101   ,台泥         ,20000322,   33.90,   35.70,   33.40,   33.70,    42303,     1453504,  -1.7493,   1.9259,       74022,  -1.7648
1101   ,台泥         ,20000323,   34.90,   36.00,   34.30,   36.00,    30968,     1100674,   6.8249,   1.4099,       79074,   6.6021
1101   ,台泥         ,20000324,   38.50,   38.50,   36.50,   37.20,    83288,     3124035,   3.3333,   3.7919,       81709,   3.2790
1101   ,台泥         ,20000327,   37.40,   39.00,   36.00,   37.60,    54544,     2049736,   1.0753,   2.4832,       82588,   1.0695
1101   ,台泥         ,20000328,   38.20,   38.90,   36.80,   36.80,    40264,     1529192,  -2.1277,   1.8331,       80831,  -2.1506
1101   ,台泥         ,20000329,   36.50,   36.80,   35.20,   35.40,    29277,     1054650,  -3.8043,   1.3329,       77756,  -3.8786
1101   ,台泥         ,20000330,   35.40,   36.30,   35.00,   35.10,    22501,      801014,  -0.8475,   1.0244,       77097,  -0.8511
