symbol,abbreviation,year_month_day,open_price,high_price,low_price,close_price,volume_1000_shares,value_1000_dollars,simple_roi_%,turnover_ratio_%,market_value_million_dollars,continuous_roi_%
2891   ,中信金       ,20020517,   30.60,   31.60,   30.50,   31.20,    41093,     1279695,   2.6316,   0.8923,      143689,   2.5975
2891   ,中信金       ,20020520,   31.10,   31.20,   30.40,   30.80,    20624,      637835,  -1.2821,   0.4478,      141847,  -1.2903
2891   ,中信金       ,20020521,   30.50,   30.60,   29.20,   29.20,    18633,      555550,  -5.1948,   0.4046,      134478,  -5.3346
2891   ,中信金       ,20020522,   29.00,   29.50,   28.70,   29.20,    16014,      465513,   0.0000,   0.3477,      134478,   0.0000
2891   ,中信金       ,20020523,   29.20,   29.30,   29.00,   29.20,     9902,      289034,   0.0000,   0.2150,      134478,   0.0000
2891   ,中信金       ,20020524,   29.20,   30.40,   29.20,   30.10,    20778,      621397,   3.0822,   0.4512,      138623,   3.0356
2891   ,中信金       ,20020527,   29.90,   30.80,   29.50,   30.60,    19562,      592876,   1.6611,   0.4248,      140926,   1.6475
2891   ,中信金       ,20020528,   30.70,   30.80,   29.80,   30.00,    14836,      447770,  -1.9608,   0.3221,      138162,  -1.9803
2891   ,中信金       ,20020529,   29.80,   30.20,   29.40,   30.20,    12293,      364997,   0.6667,   0.2669,      139083,   0.6645
2891   ,中信金       ,20020530,   30.10,   31.20,   30.00,   31.20,    30386,      937272,   3.3113,   0.6598,      143689,   3.2576
2891   ,中信金       ,20020531,   31.20,   31.50,   30.60,   31.50,    14149,      439430,   0.9615,   0.3072,      145070,   0.9569
2891   ,中信金       ,20020603,   30.40,   30.80,   29.80,   30.20,    13045,      393286,  -4.1270,   0.2833,      139083,  -4.2146
2891   ,中信金       ,20020604,   29.60,   30.20,   29.60,   30.00,     8046,      241293,  -0.6623,   0.1747,      138162,  -0.6645
2891   ,中信金       ,20020605,   30.10,   30.40,   29.70,   29.70,    12890,      388707,  -1.0000,   0.2799,      136781,  -1.0050
2891   ,中信金       ,20020606,   29.70,   29.90,   29.60,   29.60,    12331,      366404,  -0.3367,   0.2677,      136320,  -0.3373
2891   ,中信金       ,20020607,   29.30,   30.40,   29.20,   29.80,    17719,      532348,   0.6757,   0.3847,      137241,   0.6734
2891   ,中信金       ,20020610,   30.10,   30.20,   29.50,   29.70,    12574,      376536,  -0.3356,   0.2730,      136781,  -0.3361
2891   ,中信金       ,20020611,   30.00,   30.70,   29.80,   29.80,    23868,      722801,   0.3367,   0.5183,      137241,   0.3361
2891   ,中信金       ,20020612,   30.00,   30.30,   29.80,   30.10,    13284,      399864,   1.0067,   0.2884,      138623,   1.0017
2891   ,中信金       ,20020613,   30.10,   32.00,   30.00,   31.70,    46151,     1442523,   5.3156,   1.0021,      145992,   5.1792
2891   ,中信金       ,20020614,   31.70,   33.00,   31.30,   32.10,    67221,     2179272,   1.2618,   1.4596,      147834,   1.2539
2891   ,中信金       ,20020617,   31.80,   32.30,   31.50,   31.70,    30677,      977698,  -1.2461,   0.6661,      145992,  -1.2539
2891   ,中信金       ,20020618,   31.90,   32.00,   30.70,   30.90,    26865,      840720,  -2.5237,   0.5833,      142307,  -2.5560
